bbl,bldg,m,og_address,zip code,cd,fc,ss,sa,cc,bin,dev_name,boro,units,transfer,new_address
3018080170,9,M,453 GATES AVENUE,11216,03,08,25,56,36,3050924,ARMSTRONG I,brooklyn,371, 02/12/2020,453 GATES AVENUE
3018080169,9,M,455 GATES AVENUE,11216,03,08,25,56,36,3050923,ARMSTRONG I,brooklyn,371, 02/12/2020,455 GATES AVENUE
3018080168,9,M,457 GATES AVENUE,11216,03,08,25,56,36,3050922,ARMSTRONG I,brooklyn,371, 02/12/2020,457 GATES AVENUE
3018080167,9,M,459 GATES AVENUE,11216,03,08,25,56,36,3050921,ARMSTRONG I,brooklyn,371, 02/12/2020,459 GATES AVENUE
3018080166,9,M,461 GATES AVENUE,11216,03,08,25,56,36,3050920,ARMSTRONG I,brooklyn,371, 02/12/2020,461 GATES AVENUE
3018080165,9,M,463 GATES AVENUE,11216,03,08,25,56,36,3050919,ARMSTRONG I,brooklyn,371, 02/12/2020,463 GATES AVENUE
3018080164,9,M,465 GATES AVENUE,11216,03,08,25,56,36,3050918,ARMSTRONG I,brooklyn,371, 02/12/2020,465 GATES AVENUE
3018080163,9,M,467 GATES AVENUE,11216,03,08,25,56,36,3050917,ARMSTRONG I,brooklyn,371, 02/12/2020,467 GATES AVENUE
3018080162,9,M,469 GATES AVENUE,11216,03,08,25,56,36,3050916,ARMSTRONG I,brooklyn,371, 02/12/2020,469 GATES AVENUE
3018080161,9,M,471 GATES AVENUE,11216,03,08,25,56,36,3050915,ARMSTRONG I,brooklyn,371, 02/12/2020,471 GATES AVENUE
3018080160,9,M,473 GATES AVENUE,11216,03,08,25,56,36,3050914,ARMSTRONG I,brooklyn,371, 02/12/2020,473 GATES AVENUE
3018080059,9,M,475 GATES AVENUE,11216,03,08,25,56,36,3050907,ARMSTRONG I,brooklyn,371, 02/12/2020,475 GATES AVENUE
3017990044,1,M,375 LEXINGTON AVENUE,11216,03,08,25,56,36,3322165,ARMSTRONG II,brooklyn,248, 02/12/2020,375 LEXINGTON AVENUE
3017990044,1,M,385 LEXINGTON AVENUE,11216,03,08,25,56,36,3322166,ARMSTRONG II,brooklyn,248, 02/12/2020,385 LEXINGTON AVENUE
3017990044,1,M,395 LEXINGTON AVENUE,11216,03,08,25,56,36,3322173,ARMSTRONG II,brooklyn,248, 02/12/2020,395 LEXINGTON AVENUE
3017990044,1,M,405 LEXINGTON AVENUE,11216,03,08,25,56,36,3322174,ARMSTRONG II,brooklyn,248, 02/12/2020,405 LEXINGTON AVENUE
3017990044,1,M,415 LEXINGTON AVENUE,11216,03,08,25,56,36,3322175,ARMSTRONG II,brooklyn,248, 02/12/2020,415 LEXINGTON AVENUE
