,bbl,bin,bldg#,m,direction,house_num,street_name,street_type,zip,full_address
1180,3013750002,3036630,7,M,,225,BUFFALO,AVENUE,11213,225 BUFFALO AVENUE
1181,3035100016,3000000,7,,,2041,UNION,STREET,11212,2041 UNION STREET
1182,3035100007,3000000,7,,,2063,UNION,STREET,11212,2063 UNION STREET
1183,3035100006,3000000,7,,,2067,UNION,STREET,11212,2067 UNION STREET
1184,3035100001,3080820,1,M,,2069,UNION,STREET,11212,2069 UNION STREET
1185,3035100001,3080820,1,,,2079,UNION,STREET,11212,2079 UNION STREET
1186,3035100011,3080825,2,M,,2045,UNION,STREET,11212,2045 UNION STREET
1187,3035100011,3080825,2,,,2055,UNION,STREET,11212,2055 UNION STREET
1188,3035090059,3080818,3,,,2068,UNION,STREET,11212,2068 UNION STREET
1189,3035090059,3080818,3,M,,2058,UNION,STREET,11212,2058 UNION STREET
1190,3035490036,3423994,3,,,182,TAPSCOTT,STREET,11212,182 TAPSCOTT STREET
1191,3035490039,3081472,3,,,190,TAPSCOTT,STREET,11212,190 TAPSCOTT STREET
1192,3035490041,3000000,3,,,194,TAPSCOTT,STREET,11212,194 TAPSCOTT STREET
1193,3035340001,3081227,1,M,,725,HOWARD,AVENUE,11212,725 HOWARD AVENUE
1194,3035500034,3081484,2,,,738,HOWARD,AVENUE,11212,738 HOWARD AVENUE
1195,3035500034,3081484,2,M,,728,HOWARD,AVENUE,11212,728 HOWARD AVENUE
1196,3035490033,3081471,3,M,,170,TAPSCOTT,STREET,11212,170 TAPSCOTT STREET
1197,3035500016,3081483,4,,,185,TAPSCOTT,STREET,11212,185 TAPSCOTT STREET
1198,3035500016,3081483,4,M,,175,TAPSCOTT,STREET,11212,175 TAPSCOTT STREET
1199,3035490036,3423994,5,M,,184,TAPSCOTT,STREET,11212,184 TAPSCOTT STREET
1200,3035500011,3081482,6,,,197,TAPSCOTT,STREET,11212,197 TAPSCOTT STREET
1201,3035500011,3081482,6,M,,187,TAPSCOTT,STREET,11212,187 TAPSCOTT STREET
1202,3035490039,3081472,7,M,,192,TAPSCOTT,STREET,11212,192 TAPSCOTT STREET
1203,3035500006,3081481,8,,,209,TAPSCOTT,STREET,11212,209 TAPSCOTT STREET
