,bbl,bin,bldg#,m,direction,house_num,street_name,street_type,zip,full_address,index,development,transfer_date,boro,units,_merge
38,3017940054,3322152,4,M,,545,GREENE,AVENUE,11216,545 GREENE AVENUE,41.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
39,3017940054,3397846,4,M,,555,GREENE,AVENUE,11216,555 GREENE AVENUE,41.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
40,3018030124,3050667,5,M,,304,LEXINGTON,AVENUE,11216,304 LEXINGTON AVENUE,43.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
41,3018030123,3050666,5,M,,302,LEXINGTON,AVENUE,11216,302 LEXINGTON AVENUE,44.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
42,3018030122,3050665,5,M,,300,LEXINGTON,AVENUE,11216,300 LEXINGTON AVENUE,45.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
43,3018030121,3050664,5,M,,298,LEXINGTON,AVENUE,11216,298 LEXINGTON AVENUE,46.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
44,3018030120,3050663,5,M,,296,LEXINGTON,AVENUE,11216,296 LEXINGTON AVENUE,47.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
45,3018030119,3050662,5,M,,294,LEXINGTON,AVENUE,11216,294 LEXINGTON AVENUE,48.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
46,3018030118,3050661,5,M,,292,LEXINGTON,AVENUE,11216,292 LEXINGTON AVENUE,49.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
47,3018030117,3050660,5,M,,290,LEXINGTON,AVENUE,11216,290 LEXINGTON AVENUE,50.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
48,3018030116,3050659,5,M,,288,LEXINGTON,AVENUE,11216,288 LEXINGTON AVENUE,51.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
49,3018030115,3050658,5,M,,286,LEXINGTON,AVENUE,11216,286 LEXINGTON AVENUE,52.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
50,3018030114,3050657,5,M,,284,LEXINGTON,AVENUE,11216,284 LEXINGTON AVENUE,53.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
51,3018030113,3050656,5,M,,282,LEXINGTON,AVENUE,11216,282 LEXINGTON AVENUE,54.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
52,3018030112,3050655,5,M,,280,LEXINGTON,AVENUE,11216,280 LEXINGTON AVENUE,55.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
53,3018030011,3050619,5,M,,278,LEXINGTON,AVENUE,11216,278 LEXINGTON AVENUE,56.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
54,3018030027,3322208,6,M,,310,LEXINGTON,AVENUE,11216,310 LEXINGTON AVENUE,57.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
55,3018030027,3322207,6,M,,320,LEXINGTON,AVENUE,11216,320 LEXINGTON AVENUE,57.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
56,3018030042,3322210,7,M,,330,LEXINGTON,AVENUE,11216,330 LEXINGTON AVENUE,59.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
57,3018030042,3322209,7,M,,336,LEXINGTON,AVENUE,11216,336 LEXINGTON AVENUE,59.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
58,3018080174,3322227,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
59,3018080174,3322226,8,M,,441,GATES,AVENUE,11216,441 GATES AVENUE,61.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
60,3018080173,3050927,9,M,,447,GATES,AVENUE,11216,447 GATES AVENUE,63.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
61,3018080172,3050926,9,M,,449,GATES,AVENUE,11216,449 GATES AVENUE,64.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
62,3018080171,3050925,9,M,,451,GATES,AVENUE,11216,451 GATES AVENUE,65.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
63,3018080170,3050924,9,M,,453,GATES,AVENUE,11216,453 GATES AVENUE,66.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
64,3018080169,3050923,9,M,,455,GATES,AVENUE,11216,455 GATES AVENUE,67.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
65,3018080168,3050922,9,M,,457,GATES,AVENUE,11216,457 GATES AVENUE,68.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
66,3018080167,3050921,9,M,,459,GATES,AVENUE,11216,459 GATES AVENUE,69.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
67,3018080166,3050920,9,M,,461,GATES,AVENUE,11216,461 GATES AVENUE,70.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
68,3018080165,3050919,9,M,,463,GATES,AVENUE,11216,463 GATES AVENUE,71.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
69,3018080164,3050918,9,M,,465,GATES,AVENUE,11216,465 GATES AVENUE,72.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
70,3018080163,3050917,9,M,,467,GATES,AVENUE,11216,467 GATES AVENUE,73.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
71,3018080162,3050916,9,M,,469,GATES,AVENUE,11216,469 GATES AVENUE,74.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
72,3018080161,3050915,9,M,,471,GATES,AVENUE,11216,471 GATES AVENUE,75.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
73,3018080160,3050914,9,M,,473,GATES,AVENUE,11216,473 GATES AVENUE,76.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
74,3018080059,3050907,9,M,,475,GATES,AVENUE,11216,475 GATES AVENUE,77.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
75,3017990044,3322165,1,M,,375,LEXINGTON,AVENUE,11216,375 LEXINGTON AVENUE,78.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
76,3017990044,3322166,1,M,,385,LEXINGTON,AVENUE,11216,385 LEXINGTON AVENUE,78.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
77,3017990044,3322173,1,M,,395,LEXINGTON,AVENUE,11216,395 LEXINGTON AVENUE,78.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
78,3017990044,3322174,1,M,,405,LEXINGTON,AVENUE,11216,405 LEXINGTON AVENUE,78.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
79,3017990044,3322175,1,M,,415,LEXINGTON,AVENUE,11216,415 LEXINGTON AVENUE,78.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
80,3017990044,3322175,1,M,,280,TOMPKINS,AVENUE,11216,280 TOMPKINS AVENUE,78.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
81,3018040010,3322211,2,M,,360,LEXINGTON,AVENUE,11216,360 LEXINGTON AVENUE,84.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
82,3018040010,3322211,2,M,,370,LEXINGTON,AVENUE,11216,370 LEXINGTON AVENUE,84.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
83,3018040010,3322213,2,M,,380,LEXINGTON,AVENUE,11216,380 LEXINGTON AVENUE,84.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
84,3018040010,3322214,3,M,,390,LEXINGTON,AVENUE,11216,390 LEXINGTON AVENUE,84.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
85,3018090001,3322228,4,M,,775,MARCY,AVENUE,11216,775 MARCY AVENUE,88.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
86,3018090001,3322229,4,M,,785,MARCY,AVENUE,11216,785 MARCY AVENUE,88.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
87,3018090001,3322230,4,M,,791,MARCY,AVENUE,11216,791 MARCY AVENUE,88.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
88,3018090062,3322236,5,M,,499,GATES,AVENUE,11216,499 GATES AVENUE,91.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
89,3018090062,3322234,5,M,,505,GATES,AVENUE,11216,505 GATES AVENUE,91.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
90,3018090062,3322234,5,M,,515,GATES,AVENUE,11216,515 GATES AVENUE,91.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
91,3018090062,3050974,6,,,495,GATES,AVENUE,11216,495 GATES AVENUE,91.0,ARMSTRONG II,2020-02-12,BROOKLYN,248.0,both
92,1020680046,1061681,1,M,,1909,AMSTERDAM,AVENUE,10032,1909 AMSTERDAM AVENUE,95.0,AUDUBON,2023-01-10,MANHATTAN,168.0,both
93,2032390004,2092440,1,,WEST,230,193,STREET,10463,230 WEST 193 STREET,96.0,BAILEY AVENUE-WEST 193RD STREET,2025-06-24,BRONX,233.0,both
94,2032390004,2092440,1,M,,2663,HEATH,AVENUE,10463,2663 HEATH AVENUE,96.0,BAILEY AVENUE-WEST 193RD STREET,2025-06-24,BRONX,233.0,both
95,2032390004,2092440,1,,,2661,HEATH,AVENUE,10463,2661 HEATH AVENUE,96.0,BAILEY AVENUE-WEST 193RD STREET,2025-06-24,BRONX,233.0,both
96,2032390004,2092440,1,,,2667,HEATH,AVENUE,10463,2667 HEATH AVENUE,96.0,BAILEY AVENUE-WEST 193RD STREET,2025-06-24,BRONX,233.0,both
97,2032390004,2092440,1,,,2660,BAILEY,AVENUE,10463,2660 BAILEY AVENUE,96.0,BAILEY AVENUE-WEST 193RD STREET,2025-06-24,BRONX,233.0,both
98,2049050360,2093740,1,M,,1870,SCHIEFFELIN,AVENUE,10466,1870 SCHIEFFELIN AVENUE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
99,2049050360,2093740,1,,,1860,SCHIEFFELIN,AVENUE,10466,1860 SCHIEFFELIN AVENUE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
100,2049050360,2093740,1,,EAST,1225,225,STREET,10466,1225 EAST 225 STREET,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
101,2049050360,2093749,10,M,,1871,SCHIEFFELIN,PLACE,10466,1871 SCHIEFFELIN PLACE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
102,2049050360,2093751,11,M,,1891,SCHIEFFELIN,PLACE,10466,1891 SCHIEFFELIN PLACE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
103,2049050360,2093741,12,,EAST,1220,229,STREET,10466,1220 EAST 229 STREET,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
104,2049050360,2093742,2,M,,1880,SCHIEFFELIN,AVENUE,10466,1880 SCHIEFFELIN AVENUE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
105,2049050360,2093743,3,M,,1890,SCHIEFFELIN,AVENUE,10466,1890 SCHIEFFELIN AVENUE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
106,2049050360,2093745,4,M,,1920,SCHIEFFELIN,AVENUE,10466,1920 SCHIEFFELIN AVENUE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
107,2049050360,2093746,5,M,,1930,SCHIEFFELIN,AVENUE,10466,1930 SCHIEFFELIN AVENUE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
108,2049050360,2093744,6,M,,1900,SCHIEFFELIN,AVENUE,10466,1900 SCHIEFFELIN AVENUE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
109,2049050360,2093744,6,,,1910,SCHIEFFELIN,AVENUE,10466,1910 SCHIEFFELIN AVENUE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
110,2049050360,2093748,7,M,,1861,SCHIEFFELIN,PLACE,10466,1861 SCHIEFFELIN PLACE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
111,2049050360,2093750,8,M,,1881,SCHIEFFELIN,PLACE,10466,1881 SCHIEFFELIN PLACE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
112,2049050360,2093747,9,M,,1851,SCHIEFFELIN,PLACE,10466,1851 SCHIEFFELIN PLACE,100.0,BAYCHESTER,2018-12-27,BRONX,441.0,both
113,3040290001,3323714,1,M,,455,BARBEY,STREET,11207,455 BARBEY STREET,115.0,BELMONT-SUTTER AREA,2021-12-28,BROOKLYN,72.0,both
114,3040290001,3323714,1,M,,459,BARBEY,STREET,11207,459 BARBEY STREET,115.0,BELMONT-SUTTER AREA,2021-12-28,BROOKLYN,72.0,both
115,3040290001,3323714,1,M,,463,BARBEY,STREET,11207,463 BARBEY STREET,115.0,BELMONT-SUTTER AREA,2021-12-28,BROOKLYN,72.0,both
116,3040290001,3323715,2,M,,418,JEROME,STREET,11207,418 JEROME STREET,115.0,BELMONT-SUTTER AREA,2021-12-28,BROOKLYN,72.0,both
117,3040290001,3323715,2,M,,422,JEROME,STREET,11207,422 JEROME STREET,115.0,BELMONT-SUTTER AREA,2021-12-28,BROOKLYN,72.0,both
118,3040290001,3323715,2,M,,426,JEROME,STREET,11207,426 JEROME STREET,115.0,BELMONT-SUTTER AREA,2021-12-28,BROOKLYN,72.0,both
119,3040290001,3323716,3,M,,610,BELMONT,AVENUE,11207,610 BELMONT AVENUE,115.0,BELMONT-SUTTER AREA,2021-12-28,BROOKLYN,72.0,both
120,3040290001,3323716,3,M,,616,BELMONT,AVENUE,11207,616 BELMONT AVENUE,115.0,BELMONT-SUTTER AREA,2021-12-28,BROOKLYN,72.0,both
121,3021570019,3000000,3,,SOUTH,100,10,STREET,11249,100 SOUTH 10 STREET,123.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
122,3021570005,3000000,3,,,447,BERRY,STREET,11249,447 BERRY STREET,124.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
123,3021560021,3000000,3,,,448,BERRY,STREET,11249,448 BERRY STREET,125.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
124,3021570004,3000000,3,,,449,BERRY,STREET,11249,449 BERRY STREET,126.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
125,3021450001,3000000,3,,SOUTH,45,10,STREET,11249,45 SOUTH 10 STREET,127.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
126,3021560022,3000000,3,,,450,BERRY,STREET,11249,450 BERRY STREET,128.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
127,3021570003,3000000,3,,,451,BERRY,STREET,11249,451 BERRY STREET,129.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
128,3021570002,3000000,3,,,453,BERRY,STREET,11249,453 BERRY STREET,130.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
129,3021570001,3000000,3,,,455,BERRY,STREET,11249,455 BERRY STREET,131.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
130,3021570020,3000000,3,,,462,BEDFORD,AVENUE,11249,462 BEDFORD AVENUE,132.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
131,3021570021,3000000,3,,,464,BEDFORD,AVENUE,11249,464 BEDFORD AVENUE,133.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
132,3021570022,3000000,3,,,466,BEDFORD,AVENUE,11249,466 BEDFORD AVENUE,134.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
133,3021450036,3000000,3,,SOUTH,49,10,STREET,11249,49 SOUTH 10 STREET,135.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
134,3021450035,3000000,3,,SOUTH,51,10,STREET,11249,51 SOUTH 10 STREET,136.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
135,3021450034,3000000,3,,SOUTH,53,10,STREET,11249,53 SOUTH 10 STREET,137.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
136,3021450033,3000000,3,,SOUTH,55,10,STREET,11249,55 SOUTH 10 STREET,138.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
137,3021450032,3000000,3,,SOUTH,57,10,STREET,11249,57 SOUTH 10 STREET,139.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
138,3021450031,3000000,3,,SOUTH,59,10,STREET,11249,59 SOUTH 10 STREET,140.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
139,3021450030,3393826,3,,SOUTH,61,10,STREET,11249,61 SOUTH 10 STREET,141.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
140,3021450029,3000000,3,,SOUTH,63,10,STREET,11249,63 SOUTH 10 STREET,142.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
141,3021450028,3000000,3,,SOUTH,65,10,STREET,11249,65 SOUTH 10 STREET,143.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
142,3021450026,3000000,3,,SOUTH,67,10,STREET,11249,67 SOUTH 10 STREET,145.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
143,3021450017,3000000,3,,SOUTH,74,9,STREET,11249,74 SOUTH 9 STREET,146.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
144,3021450018,3341979,1,M,,440,BERRY,STREET,11249,440 BERRY STREET,147.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
145,3021450018,3341979,1,,SOUTH,71,10,STREET,11249,71 SOUTH 10 STREET,147.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
146,3021450008,3341978,2,M,SOUTH,46,9,STREET,11249,46 SOUTH 9 STREET,149.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
147,3021450008,3427270,2,M,SOUTH,50,9,STREET,11249,50 SOUTH 9 STREET,149.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
148,3021450008,3427271,2,M,SOUTH,54,9,STREET,11249,54 SOUTH 9 STREET,149.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
149,3021450008,3427272,2,M,SOUTH,58,9,STREET,11249,58 SOUTH 9 STREET,149.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
150,3021560007,3255961,3,M,SOUTH,46,10,STREET,11249,46 SOUTH 10 STREET,153.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
151,3021560007,3255964,3,M,SOUTH,48,10,STREET,11249,48 SOUTH 10 STREET,153.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
152,3021560007,3255965,3,M,SOUTH,52,10,STREET,11249,52 SOUTH 10 STREET,153.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
153,3021560007,3255967,3,M,SOUTH,56,10,STREET,11249,56 SOUTH 10 STREET,153.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
154,3021560007,3346891,3,M,SOUTH,60,10,STREET,11249,60 SOUTH 10 STREET,153.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
155,3021560007,3346892,3,M,SOUTH,64,10,STREET,11249,64 SOUTH 10 STREET,153.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
156,3021570006,3255977,4,M,SOUTH,84,10,STREET,11249,84 SOUTH 10 STREET,159.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
157,3021570006,3255982,4,M,SOUTH,88,10,STREET,11249,88 SOUTH 10 STREET,159.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
158,3021570006,3346893,4,M,SOUTH,92,10,STREET,11249,92 SOUTH 10 STREET,159.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
159,3021570006,3346894,4,M,SOUTH,96,10,STREET,11249,96 SOUTH 10 STREET,159.0,BERRY STREET-SOUTH 9TH STREET,2020-02-12,BROOKLYN,150.0,both
160,2022690100,2090994,1,,,404,BROOK,AVENUE,10454,404 BROOK AVENUE,163.0,BETANCES I,2018-11-16,BRONX,309.0,both
161,2022690100,2090994,1,,EAST,510,144,STREET,10454,510 EAST 144 STREET,163.0,BETANCES I,2018-11-16,BRONX,309.0,both
162,2022690100,2090994,1,M,,400,BROOK,AVENUE,10454,400 BROOK AVENUE,163.0,BETANCES I,2018-11-16,BRONX,309.0,both
163,2022690100,2116422,10,M,EAST,550,144,STREET,10454,550 EAST 144 STREET,163.0,BETANCES I,2018-11-16,BRONX,309.0,both
164,2022690100,2116423,11,M,EAST,540,144,STREET,10454,540 EAST 144 STREET,163.0,BETANCES I,2018-11-16,BRONX,309.0,both
