,building_name,borough,total_units,tds,transferred_date,page_number,bbl,bldg,m,address
68,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,
69,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,
70,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,
71,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,
72,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,,,M,
73,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,3017990044,1,M,375 LEXINGTON AVENUE
74,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,3017990044,1,M,385 LEXINGTON AVENUE
75,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,3017990044,1,M,395 LEXINGTON AVENUE
76,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,3017990044,1,M,405 LEXINGTON AVENUE
77,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,3017990044,1,M,415 LEXINGTON AVENUE
78,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,3017990044,1,M,280 TOMPKINS AVENUE
79,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,3018040010,2,M,360 LEXINGTON AVENUE
80,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,3018040010,2,M,370 LEXINGTON AVENUE
81,ARMSTRONG II,BROOKLYN,248,228,2/12/2020,2,3018040010,2,M,380 LEXINGTON AVENUE
82,AUDUBON,MANHATTAN,168,125,1/10/2023,3,,,M,
83,AUDUBON,MANHATTAN,168,125,1/10/2023,3,,,M,
84,AUDUBON,MANHATTAN,168,125,1/10/2023,3,,,M,
85,AUDUBON,MANHATTAN,168,125,1/10/2023,3,,,M,
86,AUDUBON,MANHATTAN,168,125,1/10/2023,3,,,M,
87,AUDUBON,MANHATTAN,168,125,1/10/2023,3,,,M,
88,AUDUBON,MANHATTAN,168,125,1/10/2023,3,,,,
89,BAYCHESTER,BRONX,441,126,12/27/2018,3,1020680046,1,M,1909 AMSTERDAM AVENUE
90,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,1,M,1870 SCHIEFFELIN AVENUE
91,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,1,,1860 SCHIEFFELIN AVENUE
92,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,1,,1225 EAST 225TH STREET
93,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,10,M,1871 SCHIEFFELIN PLACE
94,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,11,M,1891 SCHIEFFELIN PLACE
95,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,12,,1220 EAST 229TH STREET
96,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,2,M,1880 SCHIEFFELIN AVENUE
97,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,3,M,1890 SCHIEFFELIN AVENUE
98,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,4,M,1920 SCHIEFFELIN AVENUE
99,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,5,M,1930 SCHIEFFELIN AVENUE
100,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,6,,1910 SCHIEFFELIN AVENUE
101,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,6,M,1900 SCHIEFFELIN AVENUE
102,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,7,M,1861 SCHIEFFELIN PLACE
103,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,8,M,1881 SCHIEFFELIN PLACE
104,BELMONT-SUTTER AREA,BROOKLYN,72,345,12/28/2021,3,2049050360,9,M,1851 SCHIEFFELIN PLACE
105,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3040290001,1,M,455 BARBEY STREET
106,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3040290001,1,M,459 BARBEY STREET
107,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3040290001,1,M,463 BARBEY STREET
108,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3040290001,2,M,418 JEROME STREET
109,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3040290001,2,M,422 JEROME STREET
110,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3040290001,2,M,426 JEROME STREET
111,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3040290001,3,M,610 BELMONT AVENUE
112,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3040290001,3,M,616 BELMONT AVENUE
113,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3021570019,,,100 SOUTH 10TH STREET
114,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3021570005,,,447 BERRY STREET
115,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3021560021,,,448 BERRY STREET
116,BERRY STREET-SOUTH 9TH STREET,BROOKLYN,150,357,2/12/2020,3,3021570004,,,449 BERRY STREET
117,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
118,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
119,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
120,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
121,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
122,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
123,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
124,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
125,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
126,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
127,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
128,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
129,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
130,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
131,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
132,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
133,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
134,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
135,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
136,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
137,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
138,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
139,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
140,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
141,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
142,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
143,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
144,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
145,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
146,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
147,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
148,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
149,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
150,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
151,BETANCES I,BRONX,309,211,11/16/2018,4,,,,
152,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,1,M,400 BROOK AVENUE
153,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,1,,404 BROOK AVENUE
154,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,1,,510 EAST 144TH STREET
155,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,10,M,550 EAST 144TH STREET
156,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,11,M,540 EAST 144TH STREET
157,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,12,M,530 EAST 144TH STREET
158,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,13,M,520 EAST 144TH STREET
159,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,2,M,511 EAST 143RD STREET
160,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,3,M,515 EAST 143RD STREET
161,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,4,M,525 EAST 143RD STREET
162,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,5,M,531 EAST 143RD STREET
163,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,6,M,535 EAST 143RD STREET
164,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,7,M,545 EAST 143RD STREET
165,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,8,M,551 EAST 143RD STREET
166,BETANCES I,BRONX,309,211,11/16/2018,4,2022690100,8,,555 EAST 143RD STREET
167,"BETANCES II, 13",BRONX,51,518,11/16/2018,5,,,,
168,"BETANCES II, 18",BRONX,78,519,11/16/2018,5,2025680012,3,M,700 EAST 140TH STREET
169,"BETANCES II, 18",BRONX,78,519,11/16/2018,5,2025680012,3,,690 EAST 140TH STREET
170,"BETANCES II, 9A",BRONX,46,220,11/16/2018,5,2022820057,1,M,443 EAST 137TH STREET
171,"BETANCES II, 9A",BRONX,46,220,11/16/2018,5,2022820057,1,M,453 EAST 137TH STREET
172,"BETANCES II, 9A",BRONX,46,220,11/16/2018,5,2022820057,1,M,455 EAST 137TH STREET
173,"BETANCES II, 9A",BRONX,46,220,11/16/2018,5,2022820057,1,M,463 EAST 137TH STREET
174,"BETANCES II, 9A",BRONX,46,220,11/16/2018,5,2022810010,2,M,416 EAST 137TH STREET
175,"BETANCES II, 9A",BRONX,46,220,11/16/2018,5,2022810010,2,,408 EAST 137TH STREET
176,"BETANCES III, 13",BRONX,22,520,11/16/2018,5,2022710001,4,M,505 EAST 144TH STREET
177,"BETANCES III, 13",BRONX,22,520,11/16/2018,5,2022710001,4,M,509 EAST 144TH STREET
178,"BETANCES III, 13",BRONX,22,520,11/16/2018,5,2022710001,4,M,517 EAST 144TH STREET
179,"BETANCES III, 13",BRONX,22,520,11/16/2018,5,2022710001,4,,511 EAST 144TH STREET
180,"BETANCES III, 18",BRONX,19,521,11/16/2018,5,2025680012,4,M,695 EAST 139TH STREET
181,"BETANCES III, 18",BRONX,19,521,11/16/2018,5,2025680012,5,M,699 EAST 139TH STREET
182,"BETANCES III, 9A",BRONX,26,222,11/16/2018,5,2022810055,,,451 EAST 136TH STREET
183,"BETANCES III, 9A",BRONX,26,222,11/16/2018,5,2022810010,6,M,411 EAST 136TH STREET
184,BETANCES IV,BRONX,282,230,11/16/2018,5,2022710020,2,M,427 SAINT ANNS AVENUE
185,BETANCES IV,BRONX,282,230,11/16/2018,5,2022710020,3,M,423 SAINT ANNS AVENUE
186,BETANCES IV,BRONX,282,230,11/16/2018,5,2022870135,1,M,480 EAST 143RD STREET
187,BETANCES V,BRONX,100,231,11/16/2018,6,,,,
