address,development_name,current_apts,total_apts,transferred_date
336 HOWARD AVENUE,,,,
336 LEFFERTS AVENUE,,,,
336 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
338 LEFFERTS AVENUE,,,,
339 WILSON AVENUE,,,,
340 EAST 28 STREET,,,,
340 LEFFERTS AVENUE,,,,
340 MILLER AVENUE,,,,
342 EAST 28 STREET,,,,
342 LEFFERTS AVENUE,,,,
343 WILSON AVENUE,,,,
344 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
344 EAST 28 STREET,344 EAST 28 STREET,225,225,11/30/20
344 LEFFERTS AVENUE,,,,
346 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
346 EAST 28 STREET,,,,
347 WILSON AVENUE,,,,
3475 BIVONA STREET,,,,
348 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
3485 BIVONA STREET,,,,
350 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
352 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
353 FORD STREET,,,,
354 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
3540 BIVONA STREET,,,,
3545 BIVONA STREET,,,,
355 EAST 183 STREET,,,,
355 FORD STREET,,,,
3550 BIVONA STREET,,,,
3555 BIVONA STREET,,,,
356 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
3560 BIVONA STREET,,,,
3565 BIVONA STREET,,,,
357 WILSON AVENUE,,,,
357 WORTMAN AVENUE,,,,
3570 BIVONA STREET,,,,
358 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
3580 BIVONA STREET,,,,
359 WORTMAN AVENUE,,,,
36 GRAFTON STREET,,,,
360 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
360 FORD STREET,,,,
360 LEXINGTON AVENUE,ARMSTRONG II,248,248,2/12/20
360 NOSTRAND AVENUE,ARMSTRONG I,369,371,2/12/20
361 WILSON AVENUE,,,,
361 WORTMAN AVENUE,,,,
362 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
363 WORTMAN AVENUE,,,,
365 EAST 183 STREET,,,,
365 FORD STREET,,,,
365 WILSON AVENUE,,,,
366 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
370 LEXINGTON AVENUE,ARMSTRONG II,248,248,2/12/20
371 EAST 183 STREET,,,,
375 CENTRAL AVENUE,,,,
375 LEXINGTON AVENUE,ARMSTRONG II,248,248,2/12/20
380 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
380 EAST 183 STREET,,,,
380 LEXINGTON AVENUE,ARMSTRONG II,248,248,2/12/20
3800 3 AVENUE,,,,
3804 3 AVENUE,,,,
3808 3 AVENUE,,,,
3812 3 AVENUE,,,,
3820 3 AVENUE,,,,
3841 BAYCHESTER AVENUE,,,,
3845 BAYCHESTER AVENUE,,,,
385 LEXINGTON AVENUE,ARMSTRONG II,248,248,2/12/20
386 FORD STREET,,,,
3861 BAYCHESTER AVENUE,,,,
3865 BAYCHESTER AVENUE,,,,
388 CLIFTON PLACE,,,,
3881 BAYCHESTER AVENUE,,,,
3885 BAYCHESTER AVENUE,,,,
390 EAST 184 STREET,,,,
390 LEXINGTON AVENUE,ARMSTRONG II,248,248,2/12/20
390 WILSON AVENUE,,,,
394 EAST 184 STREET,,,,
395 LEXINGTON AVENUE,ARMSTRONG II,248,248,2/12/20
396 CLIFTON PLACE,ARMSTRONG I,369,371,2/12/20
399 CENTRAL AVENUE,,,,
40 1/2 MACOMBS PLACE,,,,
40 GRAFTON STREET,,,,
400 BROOK AVENUE,,,,
400 CENTRAL AVENUE,,,,
400 EAST 147 STREET,,,,
4000 LACONIA AVENUE,,,,
401 SAINT ANNS AVENUE,,,,
4010 LACONIA AVENUE,,,,
4020 LACONIA AVENUE,,,,
4024 LACONIA AVENUE,,,,
4030 LACONIA AVENUE,,,,
4034 LACONIA AVENUE,,,,
404 BROOK AVENUE,,,,
4040 LACONIA AVENUE,,,,
4044 LACONIA AVENUE,,,,
405 LEXINGTON AVENUE,ARMSTRONG II,248,248,2/12/20
4056 LACONIA AVENUE,,,,
4064 LACONIA AVENUE,,,,
408 EAST 137 STREET,,,,
409 BEACH 51 STREET,,,,
409 EAST 146 STREET,,,,
410 BEACH 54 STREET,,,,
411 BEACH 54 STREET,,,,
411 EAST 136 STREET,,,,
411 EAST 146 STREET,,,,
413 EAST 146 STREET,,,,
414 BEACH 58 STREET,,,,
415 EAST 146 STREET,,,,
415 EVERGREEN AVENUE,,,,
415 LEXINGTON AVENUE,ARMSTRONG II,248,248,2/12/20
416 EAST 137 STREET,,,,
417 EAST 146 STREET,,,,
418 JEROME STREET,BELMONT-SUTTER AREA,,,
419 EAST 146 STREET,,,,
42 1/2 MACOMBS PLACE,,,,
42 MACOMBS PLACE,,,,
420 CENTRAL AVENUE,,,,
421 EAST 146 STREET,,,,
422 CENTRAL AVENUE,,,,
422 JEROME STREET,,,,
423 EAST 146 STREET,,,,
423 SAINT ANNS AVENUE,,,,
425 EAST 146 STREET,,,,
426 JEROME STREET,BELMONT-SUTTER AREA,,,
427 EAST 146 STREET,,,,
427 SAINT ANNS AVENUE,,,,
429 EAST 146 STREET,,,,
43 TAPSCOTT STREET,,,,
430 BEACH 54 STREET,,,,
431 EAST 146 STREET,,,,
431 EVERGREEN AVENUE,,,,
433 EAST 146 STREET,,,,
434 BEACH 54 STREET,,,,
434 BEACH 58 STREET,,,,
435 EAST 146 STREET,,,,
435 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
437 EAST 146 STREET,,,,
439 BEACH 54 STREET,,,,
439 EAST 146 STREET,,,,
44 GRAFTON STREET,,,,
44 MACOMBS PLACE,,,,
440 BEACH 54 STREET,,,,
440 BEACH 58 STREET,,,,
440 BERRY STREET,,,,
440 CENTRAL AVENUE,,,,
441 BEACH 51 STREET,,,,
441 EAST 146 STREET,,,,
441 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
443 BEACH 54 STREET,,,,
443 EAST 137 STREET,,,,
444 BEACH 54 STREET,,,,
445 BEACH 51 STREET,,,,
445 EAST 146 STREET,,,,
447 BEACH 54 STREET,,,,
447 BERRY STREET,BERRY STREET-SOUTH 9TH STREET,,,
447 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
448 BERRY STREET,BERRY STREET-SOUTH 9TH STREET,,,
449 BERRY STREET,BERRY STREET-SOUTH 9TH STREET,,,
449 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
45 SOUTH 10 STREET,,,,
450 BERRY STREET,,,,
450 EAST 143 STREET,,,,
450 WEST 164 STREET,,,,
451 BERRY STREET,,,,
451 EAST 136 STREET,,,,
451 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
453 BERRY STREET,,,,
453 EAST 137 STREET,,,,
453 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
455 BARBEY STREET,BELMONT-SUTTER AREA,,,
455 BERRY STREET,,,,
455 EAST 137 STREET,,,,
455 EAST 146 STREET,,,,
455 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
457 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
457 WEST 164 STREET,,,,
459 BARBEY STREET,BELMONT-SUTTER AREA,,,
459 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
46 MACOMBS PLACE,,,,
46 SOUTH 10 STREET,,,,
46 SOUTH 9 STREET,,,,
460 EAST 147 STREET,,,,
461 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
461 WEST 164 STREET,,,,
462 BEDFORD AVENUE,,,,
463 BARBEY STREET,BELMONT-SUTTER AREA,,,
463 EAST 137 STREET,,,,
463 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
463 WEST 164 STREET,,,,
464 BEDFORD AVENUE,,,,
465 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
465 SAINT ANNS AVENUE,,,,
465 WEST 164 STREET,,,,
466 BEDFORD AVENUE,,,,
467 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
469 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
471 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
473 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
474 WILLIS AVENUE,,,,
475 GATES AVENUE,ARMSTRONG I,369,371,2/12/20
48 GRAFTON STREET,,,,
48 MACOMBS PLACE,,,,
48 SOUTH 10 STREET,,,,
480 EAST 143 STREET,,,,
486 HOWARD AVENUE,,,,
488 HOWARD AVENUE,,,,
49 SOUTH 10 STREET,,,,
490 EAST 143 STREET,,,,
490 HOWARD AVENUE,,,,
492 GREENE AVENUE,,,,
492 HOWARD AVENUE,,,,
494 GREENE AVENUE,,,,
494 HOWARD AVENUE,,,,
495 GATES AVENUE,ARMSTRONG II,248,248,2/12/20
496 GREENE AVENUE,,,,
496 HOWARD AVENUE,,,,
497 HOWARD AVENUE,,,,
498 HOWARD AVENUE,,,,
499 GATES AVENUE,ARMSTRONG II,248,248,2/12/20
499 HOWARD AVENUE,,,,
5 TAPSCOTT STREET,,,,
50 MACOMBS PLACE,,,,
50 SOUTH 9 STREET,,,,
500 HOWARD AVENUE,,,,
500 WEST 164 STREET,,,,
500 WEST 177 STREET,,,,
501 HOWARD AVENUE,,,,
501 WEST 176 STREET,,,,
502 HOWARD AVENUE,,,,
502 WEST 177 STREET,,,,
503 HOWARD AVENUE,,,,
503 WEST 177 STREET,,,,
504 HOWARD AVENUE,,,,
505 EAST 144 STREET,,,,
505 GATES AVENUE,ARMSTRONG II,248,248,2/12/20
505 HOWARD AVENUE,,,,
506 HOWARD AVENUE,,,,
506 WEST 176 STREET,,,,
506 WEST 177 STREET,,,,
507 HOWARD AVENUE,,,,
508 HOWARD AVENUE,,,,
509 EAST 144 STREET,,,,
509 HOWARD AVENUE,,,,
509 WEST 176 STREET,,,,
51 SOUTH 10 STREET,,,,
51-11 ALMEDA AVENUE,,,,
51-15 ALMEDA AVENUE,,,,
51-24 BEACH CHANNEL DRIVE,,,,
51-32 BEACH CHANNEL DRIVE,,,,
51-45 ALMEDA AVENUE,,,,
51-49 ALMEDA AVENUE,,,,
510 EAST 144 STREET,,,,
510 EAST 146 STREET,,,,
510 HOWARD AVENUE,,,,
510 WEST 176 STREET,,,,
511 EAST 143 STREET,,,,
511 EAST 144 STREET,,,,
511 EAST 146 STREET,,,,
511 HOWARD AVENUE,,,,
511 WEST 134 STREET,,,,
511 WEST 177 STREET,,,,
512 EAST 146 STREET,,,,
513 EAST 146 STREET,,,,
513 GREENE AVENUE,,,,
513 HOWARD AVENUE,,,,
514 HOWARD AVENUE,,,,
514 WEST 134 STREET,,,,
514 WEST 176 STREET,,,,
514 WEST 177 STREET,,,,
515 EAST 143 STREET,,,,
515 GATES AVENUE,ARMSTRONG II,248,248,2/12/20
515 HOWARD AVENUE,,,,
515 WEST 134 STREET,,,,
517 EAST 144 STREET,,,,
518 GREENE AVENUE,,,,
52 MACOMBS PLACE,,,,
52 SOUTH 10 STREET,,,,
520 EAST 144 STREET,,,,
520 STANLEY AVENUE,,,,
521 EAST 145 STREET,,,,
521 EAST 146 STREET,,,,
524 GREENE AVENUE,,,,
524 KNICKERBOCKER AVENUE,,,,
525 EAST 143 STREET,,,,
525 EAST 145 STREET,,,,
525 EAST 146 STREET,,,,
527 EAST 146 STREET,,,,
528 EAST 146 STREET,,,,
528 GREENE AVENUE,,,,
528 KNICKERBOCKER AVENUE,,,,
529 WEST 133 STREET,,,,
53 SOUTH 10 STREET,,,,
530 EAST 144 STREET,,,,
530 EAST 146 STREET,,,,
530 STANLEY AVENUE,,,,
530 WEST 133 STREET,,,,
531 EAST 143 STREET,,,,
532 KNICKERBOCKER AVENUE,,,,
534 GREENE AVENUE,,,,
535 EAST 143 STREET,,,,
537 EAST 146 STREET,,,,
537 RALPH AVENUE,,,,
539 RALPH AVENUE,,,,
54 1/2 MACOMBS PLACE,,,,
54 MACOMBS PLACE,,,,
54 SOUTH 9 STREET,,,,
54-09 ALMEDA AVENUE,,,,
54-15 ALMEDA AVENUE,,,,
54-22 BEACH CHANNEL DRIVE,,,,
54-30 BEACH CHANNEL DRIVE,,,,
54-41 ALMEDA AVENUE,,,,
54-49 ALMEDA AVENUE,,,,
54-75 ALMEDA AVENUE,,,,
54-81 ALMEDA AVENUE,,,,
540 EAST 144 STREET,,,,
541 RALPH AVENUE,,,,
543 RALPH AVENUE,,,,
544 CLAREMONT PARKWAY,,,,
545 EAST 143 STREET,,,,
545 EAST 146 STREET,,,,
545 GREENE AVENUE,ARMSTRONG I,369,371,2/12/20
545 RALPH AVENUE,,,,
545 WEST 126 STREET,,,,
545 WEST 156 STREET,,,,
547 EAST 146 STREET,,,,
547 RALPH AVENUE,,,,
549 RALPH AVENUE,,,,
549 WEST 126 STREET,,,,
55 SOUTH 10 STREET,,,,
550 CLAREMONT PARKWAY,,,,
550 EAST 144 STREET,,,,
550 EAST 147 STREET,,,,
550 KNICKERBOCKER AVENUE,,,,
551 EAST 143 STREET,,,,
551 RALPH AVENUE,,,,
553 RALPH AVENUE,,,,
554 KNICKERBOCKER AVENUE,,,,
555 EAST 143 STREET,,,,
555 GREENE AVENUE,ARMSTRONG I,369,371,2/12/20
555 RALPH AVENUE,,,,
555 WEST 126 STREET,,,,
558 KNICKERBOCKER AVENUE,,,,
56 1/2 MACOMBS PLACE,,,,
56 MACOMBS PLACE,,,,
56 SOUTH 10 STREET,,,,
56-10 BEACH CHANNEL DRIVE,,,,
56-16 BEACH CHANNEL DRIVE,,,,
560 CLAREMONT PARKWAY,,,,
560 EAST 144 STREET,,,,
565 BALTIC STREET,,,,
568 WARREN STREET,,,,
57 SOUTH 10 STREET,,,,
57-10 BEACH CHANNEL DRIVE,,,,
570 STANLEY AVENUE,,,,
571 HOWARD AVENUE,,,,
572 WARREN STREET,,200,200,2/12/20
574 HOWARD AVENUE,,,,
574 WARREN STREET,,,,
575 HOWARD AVENUE,,,,
578 HOWARD AVENUE,,,,
579 HOWARD AVENUE,,,,
58 1/2 MACOMBS PLACE,,,,
58 MACOMBS PLACE,,,,
58 SOUTH 9 STREET,,,,
580 CENTRAL AVENUE,,,,
580 STANLEY AVENUE,,,,
582 HOWARD AVENUE,,,,
583 HOWARD AVENUE,,,,
587 HOWARD AVENUE,,,,
59 SOUTH 10 STREET,,,,
590 WARREN STREET,,,,
590 WARREN STREET -TEMPORARY ADDRESS,,,,
591 HOWARD AVENUE,,,,
595 EVERGREEN AVENUE,,,,
595 HOWARD AVENUE,,,,
599 HOWARD AVENUE,,,,
60 SOUTH 10 STREET,,,,
601 CROTONA PARK NORTH,,,,
602 HOWARD AVENUE,,,,
603 HOWARD AVENUE,,,,
606 HOWARD AVENUE,,,,
607 HOWARD AVENUE,,,,
61 SOUTH 10 STREET,,,,
610 BELMONT AVENUE,BELMONT-SUTTER AREA,,,
610 HOWARD AVENUE,,,,
611 CROTONA PARK NORTH,,,,
611 EAST 158 STREET,,,,
611 HOWARD AVENUE,,,,
614 HOWARD AVENUE,,,,
615 CROTONA PARK NORTH,,,,
615 EAST 158 STREET,,,,
615 EVERGREEN AVENUE,,,,
616 BELMONT AVENUE,BELMONT-SUTTER AREA,,,
625 EAST 158 STREET,,,,
63 SOUTH 10 STREET,,,,
630 STANLEY AVENUE,,,,
631 JEFFERSON PLACE,,,,
635 EAST 158 STREET,,,,
64 SOUTH 10 STREET,,,,
640 STANLEY AVENUE,,,,
645 EAST 158 STREET,,,,
645 MALCOLM X BOULEVARD,,,,
649 MALCOLM X BOULEVARD,,,,
65 SOUTH 10 STREET,,,,
662 RALPH AVENUE,,,,
669 LENOX AVENUE,,,,
67 SOUTH 10 STREET,,,,
670 EVERGREEN AVENUE,,,,
670 STANLEY AVENUE,,,,
672 RALPH AVENUE,,,,
681 MAPLE STREET,,,,
682 RALPH AVENUE,,,,
690 EAST 140 STREET,,,,
690 EVERGREEN AVENUE,,,,
692 RALPH AVENUE,,,,
695 EAST 139 STREET,,,,
696 STANLEY AVENUE,,,,
698 RALPH AVENUE,,,,
699 EAST 139 STREET,,,,
70 MACOMBS PLACE,,,,
700 EAST 140 STREET,,,,
71 SOUTH 10 STREET,,,,
710 CROES AVENUE,,,,
710 NOBLE AVENUE,,,,
712 NOBLE AVENUE,,,,
715 NOBLE AVENUE,,,,
717 NOBLE AVENUE,,,,
720 EAST NEW YORK AVENUE,,,,
722 EAST NEW YORK AVENUE,,,,
725 HOWARD AVENUE,,,,
725 STANLEY AVENUE,,,,
726 EAST NEW YORK AVENUE,,,,
726 FENIMORE STREET,,,,
726 STANLEY AVENUE,,,,
728 EAST NEW YORK AVENUE,,,,
728 FENIMORE STREET,,,,
728 HOWARD AVENUE,,,,
73 WILSON STREET,,,,
730 EAST NEW YORK AVENUE,,,,
730 FENIMORE STREET,,,,
732 FENIMORE STREET,,,,
736 FENIMORE STREET,,,,
738 FENIMORE STREET,,,,
738 HOWARD AVENUE,,,,
738 STANLEY AVENUE,,,,
74 SOUTH 9 STREET,,,,
740 BEACH AVENUE,,,,
740 FENIMORE STREET,,,,
740 STANLEY AVENUE,,,,
742 FENIMORE STREET,,,,
746 FENIMORE STREET,,,,
748 FENIMORE STREET,,,,
75 COVERT STREET,,,,
75 WILSON STREET,,,,
750 CROES AVENUE,,,,
750 FENIMORE STREET,,,,
752 FENIMORE STREET,,,,
756 STANLEY AVENUE,,,,
758 STANLEY AVENUE,,,,
765 STANLEY AVENUE,,,,
770 HENDERSON AVENUE,,,,
772 STANLEY AVENUE,,,,
773 STANLEY AVENUE,,,,
775 MARCY AVENUE,ARMSTRONG II,248,248,2/12/20
778 HENDERSON AVENUE,,,,
780 HENDERSON AVENUE,,,,
785 MARCY AVENUE,ARMSTRONG II,248,248,2/12/20
785 SCHENCK AVENUE,,,,
791 MARCY AVENUE,ARMSTRONG II,248,248,2/12/20
797 SCHENCK AVENUE,,,,
80 SCHENECTADY AVENUE,,,,
804 ASHFORD STREET,,,,
806 HENDERSON AVENUE,,,,
807 SCHENCK AVENUE,,,,
810 HENDERSON AVENUE,,,,
811 EAST 167 STREET,,,,
812 ASHFORD STREET,,,,
813 EAST 167 STREET,,,,
814 HENDERSON AVENUE,,,,
815 EAST 166 STREET,,,,
815 EAST 167 STREET,,,,
816 ASHFORD STREET,,,,
817 EAST 166 STREET,,,,
817 EAST 167 STREET,,,,
817 SCHENCK AVENUE,,,,
818 EAST 167 STREET,,,,
818 HOME STREET,,,,
819 EAST 166 STREET,,,,
819 EAST 167 STREET,,,,
820 EAST 167 STREET,,,,
820 HENDERSON AVENUE,,,,
820 HEWITT PLACE,,,,
821 CAULDWELL AVENUE,,,,
822 EAST 167 STREET,,,,
825 CAULDWELL AVENUE,,,,
826 HEWITT PLACE,,,,
828 ASHFORD STREET,,,,
829 CAULDWELL AVENUE,,,,
829 SCHENCK AVENUE,,,,
83 TAYLOR STREET,,,,
830 ASHFORD STREET,,,,
830 EAGLE AVENUE,,,,
832 HEWITT PLACE,,,,
834 EAGLE AVENUE,,,,
839 REV JAMES A POLITE AVENUE,,,,
84 SOUTH 10 STREET,,,,
840 EAGLE AVENUE,,,,
840 HEWITT PLACE,,,,
842 ASHFORD STREET,,,,
844 EAGLE AVENUE,,,,
845 CAULDWELL AVENUE,,,,
845 REV JAMES A POLITE AVENUE,,,,
845 SCHENCK AVENUE,,,,
846 HEWITT PLACE,,,,
85 COVERT STREET,,,,
85 PALMETTO STREET,,,,
85 TAYLOR STREET,,,,
850 EAGLE AVENUE,,,,
851 CAULDWELL AVENUE,,,,
851 REV JAMES A POLITE AVENUE,,,,
852 HEWITT PLACE,,,,
854 ASHFORD STREET,,,,
854 EAGLE AVENUE,,,,
855 CAULDWELL AVENUE,,,,
857 REV JAMES A POLITE AVENUE,,,,
857 SCHENCK AVENUE,,,,
861 CAULDWELL AVENUE,,,,
863 REV JAMES A POLITE AVENUE,,,,
865 CAULDWELL AVENUE,,,,
869 REV JAMES A POLITE AVENUE,,,,
87 TEN EYCK WALK,,,,
87 TROY AVENUE,,,,
872 ASHFORD STREET,,,,
875 PENNSYLVANIA AVENUE,,,,
875 REV JAMES A POLITE AVENUE,,,,
877 PENNSYLVANIA AVENUE,,,,
879 PENNSYLVANIA AVENUE,,,,
88 SOUTH 10 STREET,,,,
88 STAGG WALK,,,,
881 PENNSYLVANIA AVENUE,,,,
881 REV JAMES A POLITE AVENUE,,,,
881 SCHENCK AVENUE,,,,
884 ASHFORD STREET,,,,
89 TEN EYCK WALK,,,,
893 SCHENCK AVENUE,,,,
895 PENNSYLVANIA AVENUE,,,,
9 TAPSCOTT STREET,,,,
90 MAUJER STREET,,,,
90 TEN EYCK WALK,,,,
905 EAGLE AVENUE,,,,
907 EAGLE AVENUE,,,,
908 ASHFORD STREET,,,,
91 SCHOLES STREET,,,,
91 TEN EYCK WALK,,,,
912 VAN SICLEN AVENUE,,,,
914 VAN SICLEN AVENUE,,,,
92 MAUJER STREET,,,,
92 SOUTH 10 STREET,,,,
92 TEN EYCK WALK,,,,
920 ASHFORD STREET,,,,
920 VERMONT STREET,,,,
93 SCHOLES STREET,,,,
93 TEN EYCK WALK,,,,
94 MAUJER STREET,,,,
95 OLD BROADWAY,,,,
95 PALMETTO STREET,,,,
95 SCHOLES STREET,,,,
95 TEN EYCK WALK,,,,
95 WILSON STREET,,,,
950 UNION AVENUE,,,,
955 RUTLAND ROAD,,,,
96 SOUTH 10 STREET,,,,
97 SCHOLES STREET,,,,
97 STAGG WALK,,,,
97 WILSON STREET,,,,
99 FORT WASHINGTON AVENUE,,,,
99 SCHOLES STREET,,,,
99 STAGG WALK,,,,
99 WILSON STREET,,,,
