address,development_name,current_apts,total_apts,transferred_date
133 WEST 90 STREET,,,,
134 BUSHWICK AVENUE,,,,
134 WEST 166 STREET,,,,
135 WEST 143 STREET,,,,
136 BUSHWICK AVENUE,,,,
136 WEST 139 STREET,,,,
136 WEST 91 STREET,,,,
1367 SAINT MARKS AVENUE,,,,
1371 SAINT MARKS AVENUE,,,,
1373 FRANKLIN AVENUE,,,,
1375 FRANKLIN AVENUE,,,,
1377 FRANKLIN AVENUE,,,,
1379 FRANKLIN AVENUE,,,,
138 BUSHWICK AVENUE,,,,
138 WEST 139 STREET,,,,
1381 FRANKLIN AVENUE,,,,
1383 FRANKLIN AVENUE,,,,
1385 FRANKLIN AVENUE,,,,
1387 GATES AVENUE,,,,
1389 GATES AVENUE,,,,
139 HARMAN STREET,,,,
139 SCHOLES STREET,,,,
1390 FRANKLIN AVENUE,,,,
1392 FRANKLIN AVENUE,,,,
1393 GATES AVENUE,,,,
1394 FRANKLIN AVENUE,,,,
1397 GATES AVENUE,,,,
140 CLYMER STREET,,,,
140 HARMAN STREET,,,,
140 HIMROD STREET,,,,
140 MENAHAN STREET,,,,
141 WEST 142 STREET,,,,
141 WEST 90 STREET,,,,
1411 GATES AVENUE,,,,
1414 AMSTERDAM AVENUE,,,,
1415 GATES AVENUE,,,,
142 MAUJER STREET,,,,
1420 AMSTERDAM AVENUE,,,,
143 PALMETTO STREET,,,,
143 TEN EYCK WALK,,,,
143 WEST 142 STREET,,,,
143 WEST 143 STREET,,,,
1430 AMSTERDAM AVENUE,,,,
144 MAUJER STREET,,,,
144 WEST 141 STREET,,,,
1448 STERLING PLACE,,,,
145 TEN EYCK WALK,,,,
145 WEST 142 STREET,,,,
145 WEST 143 STREET,,,,
1452 STERLING PLACE,,,,
146 MAUJER STREET,,,,
1468 PARK PLACE,,,,
147 TEN EYCK WALK,,,,
1470 AMSTERDAM AVENUE,,,,
1474 PARK PLACE,,,,
148 WEST 144 STREET,,,,
1480 PARK PLACE,,,,
1481 EASTERN PARKWAY,,,,
1483 EASTERN PARKWAY,,,,
1483 SAINT JOHNS PLACE,,,,
1484 PARK PLACE,,,,
1485 EASTERN PARKWAY,,,,
1487 SAINT JOHNS PLACE,,,,
149 TEN EYCK WALK,,,,
149 WEST 142 STREET,,,,
1491 SAINT JOHNS PLACE,,,,
1504 AMSTERDAM AVENUE,,,,
1506 STERLING PLACE,,,,
151 TEN EYCK WALK,,,,
151 WEST 142 STREET,,,,
151 WEST 143 STREET,,,,
1511 STERLING PLACE,,,,
152 MAUJER STREET,,,,
1521 STERLING PLACE,,,,
1522 STERLING PLACE,,,,
1525 FULTON AVENUE,,,,
153 WEST 142 STREET,,,,
1531 FULTON AVENUE,,,,
1535 FULTON AVENUE,,,,
1545 FULTON AVENUE,,,,
155 ALASKA STREET,,,,
155 ELDERT STREET,,,,
155 WEST 142 STREET,,,,
155 WEST 143 STREET,,,,
155 WORTMAN AVENUE,,,,
1568 STERLING PLACE,,,,
157 ALASKA STREET,,,,
157 WEST 142 STREET,,,,
157 WEST 143 STREET,,,,
1575 DEAN STREET,,,,
1578 STERLING PLACE,,,,
158 WEST 144 STREET,,,,
1585 DEAN STREET,,,,
1588 STERLING PLACE,,,,
159 ALASKA STREET,,,,
159 SCHOLES STREET,,,,
159 WEST 143 STREET,,,,
1595 DEAN STREET,,,,
1598 STERLING PLACE,,,,
160 HIMROD STREET,,,,
160 MAUJER STREET,,,,
160 MENAHAN STREET,,,,
160 STAGG WALK,,,,
1605 DEAN STREET,,,,
161 PALMETTO STREET,,,,
161 SCHOLES STREET,,,,
161 TEN EYCK WALK,,,,
1615 DEAN STREET,,,,
162 MAUJER STREET,,,,
162 WEST 144 STREET,,,,
1620 PACIFIC STREET,,,,
1625 DEAN STREET,,,,
1629 PARK PLACE,,,,
163 SCHOLES STREET,,,,
163 TEN EYCK WALK,,,,
163 WEST 143 STREET,,,,
1630 PACIFIC STREET,,,,
1630 PARK PLACE,,,,
1634 STERLING PLACE,,,,
1636 PARK PLACE,,,,
164 MAUJER STREET,,,,
164 TEN EYCK WALK,,,,
164 WEST 144 STREET,,,,
164 WEST 147 STREET,,,,
1640 PACIFIC STREET,,,,
1640 PARK PLACE,,,,
1640 STERLING PLACE,,,,
1642 PACIFIC STREET,,,,
1646 PARK PLACE,,,,
1649 SAINT JOHNS PLACE,,,,
165 SCHOLES STREET,,,,
165 TEN EYCK WALK,,,,
1650 PACIFIC STREET,,,,
1651 SAINT JOHNS PLACE,,,,
1659 SAINT JOHNS PLACE,,,,
166 TEN EYCK WALK,,,,
1660 PACIFIC STREET,,,,
167 SCHOLES STREET,,,,
167 TEN EYCK WALK,,,,
167 WEST 143 STREET,,,,
1670 PACIFIC STREET,,,,
1672 PACIFIC STREET,,,,
1679 SAINT JOHNS PLACE,,,,
168 TEN EYCK WALK,,,,
1681 SAINT JOHNS PLACE,,,,
1683 SAINT JOHNS PLACE,,,,
1685 SAINT JOHNS PLACE,,,,
1687 SAINT JOHNS PLACE,,,,
1689 SAINT JOHNS PLACE,,,,
169 SCHOLES STREET,,,,
169 STAGG WALK,,,,
169 TEN EYCK WALK,,,,
1691 SAINT JOHNS PLACE,,,,
1693 SAINT JOHNS PLACE,,,,
1695 SAINT JOHNS PLACE,,,,
1697 SAINT JOHNS PLACE,,,,
17 TAPSCOTT STREET,,,,
170 PALMETTO STREET,,,,
170 TAPSCOTT STREET,,,,
1701 SAINT JOHNS PLACE,,,,
1702 STERLING PLACE,,,,
1703 SAINT JOHNS PLACE,,,,
171 SCHOLES STREET,,,,
1710 LAFAYETTE AVENUE,,,,
1716 STERLING PLACE,,,,
172 BUSHWICK AVENUE,,,,
172 MENAHAN STREET,,,,
1720 STERLING PLACE,,,,
1722 STERLING PLACE,,,,
1724 STERLING PLACE,,,,
1726 STERLING PLACE,,,,
1728 STERLING PLACE,,,,
173 WEST 140 STREET,,,,
173 WEST 151 STREET,,,,
1730 STERLING PLACE,,,,
1732 STERLING PLACE,,,,
1734 STERLING PLACE,,,,
1736 STERLING PLACE,,,,
1737 SAINT JOHNS PLACE,,,,
1738 STERLING PLACE,,,,
174 LEONARD STREET,,,,
1740 STERLING PLACE,,,,
1745 SAINT JOHNS PLACE,,,,
1747 SAINT JOHNS PLACE,,,,
1749 SAINT JOHNS PLACE,,,,
175 TAPSCOTT STREET,,,,
1751 SAINT JOHNS PLACE,,,,
1753 SAINT JOHNS PLACE,,,,
1755 SAINT JOHNS PLACE,,,,
1757 SAINT JOHNS PLACE,,,,
1758 STERLING PLACE,,,,
176 BUSHWICK AVENUE,,,,
176 LEONARD STREET,,,,
176 MAUJER STREET,,,,
176 MENAHAN STREET,,,,
1761 STERLING PLACE,,,,
1763 STERLING PLACE,,,,
1764 STERLING PLACE,,,,
1765 STERLING PLACE,,,,
1766 STERLING PLACE,,,,
1767 STERLING PLACE,,,,
1768 STERLING PLACE,,,,
177 WEST 151 STREET,,,,
1770 STERLING PLACE,,,,
1772 STERLING PLACE,,,,
1774 STERLING PLACE,,,,
1776 STERLING PLACE,,,,
178 BUSHWICK AVENUE,,,,
178 LEONARD STREET,,,,
178 MAUJER STREET,,,,
178 STAGG WALK,,,,
1790 STERLING PLACE,,,,
1792 STERLING PLACE,,,,
1794 STERLING PLACE,,,,
1796 STERLING PLACE,,,,
1798 STERLING PLACE,,,,
180 MAUJER STREET,,,,
180 PALMETTO STREET,,,,
180 STAGG WALK,,,,
180 WEST 152 STREET,,,,
180 WORTMAN AVENUE,,,,
1800 STERLING PLACE,,,,
1802 STERLING PLACE,,,,
1804 STERLING PLACE,,,,
1805 CROTONA AVENUE,,,,
1806 STERLING PLACE,,,,
1807 CROTONA AVENUE,,,,
181 SCHOLES STREET,,,,
181 STAGG WALK,,,,
181 WEST 151 STREET,,,,
1810 LAFAYETTE AVENUE,,,,
1810 STERLING PLACE,,,,
1811 CROTONA AVENUE,,,,
1812 STERLING PLACE,,,,
1814 STERLING PLACE,,,,
182 MAUJER STREET,,,,
182 SAINT NICHOLAS AVENUE,,,,
182 STAGG WALK,,,,
182 TAPSCOTT STREET,,,,
182 WEST 152 STREET,,,,
183 SCHOLES STREET,,,,
183 TEN EYCK WALK,,,,
183 WEST 152 STREET,,,,
183 WORTMAN AVENUE,,,,
184 MAUJER STREET,,,,
184 STAGG WALK,,,,
184 TAPSCOTT STREET,,,,
185 SCHOLES STREET,,,,
185 TAPSCOTT STREET,,,,
185 TEN EYCK WALK,,,,
185 WORTMAN AVENUE,,,,
1851 SCHIEFFELIN PLACE,BAYCHESTER,440,441,12/27/18
1855 SCHIEFFELIN AVENUE,,,,
186 STAGG WALK,,,,
186 TEN EYCK WALK,,,,
186 WEST 152 STREET,,,,
1860 SCHIEFFELIN AVENUE,BAYCHESTER,440,441,12/27/18
1861 SCHIEFFELIN PLACE,BAYCHESTER,440,441,12/27/18
187 TAPSCOTT STREET,,,,
187 TEN EYCK WALK,,,,
187 WEST 152 STREET,,,,
187 WORTMAN AVENUE,,,,
1870 SCHIEFFELIN AVENUE,BAYCHESTER,440,441,12/27/18
1871 SCHIEFFELIN PLACE,BAYCHESTER,440,441,12/27/18
188 MARCY AVENUE,,,,
188 TAPSCOTT STREET,,,,
188 TEN EYCK WALK,,,,
1880 SCHIEFFELIN AVENUE,BAYCHESTER,440,441,12/27/18
1881 SCHIEFFELIN PLACE,BAYCHESTER,440,441,12/27/18
1890 SCHIEFFELIN AVENUE,BAYCHESTER,440,441,12/27/18
1891 SCHIEFFELIN PLACE,BAYCHESTER,440,441,12/27/18
1895 SCHIEFFELIN AVENUE,,,,
190 HARMAN STREET,,,,
190 MARCY AVENUE,,,,
190 PALMETTO STREET,,,,
190 TAPSCOTT STREET,,,,
190 TEN EYCK WALK,,,,
190 WEST 152 STREET,,,,
190 WORTMAN AVENUE,,,,
1900 SCHIEFFELIN AVENUE,,,,
1909 AMSTERDAM AVENUE,AUDOBON,167,168,1/10/23
191 WEST 151 STREET,,,,
191 WOODBINE STREET,,,,
1910 SCHIEFFELIN AVENUE,,,,
192 TAPSCOTT STREET,,,,
1920 SCHIEFFELIN AVENUE,,,,
1930 SCHIEFFELIN AVENUE,,,,
194 TAPSCOTT STREET,,,,
1943 AMSTERDAM AVENUE,,,,
1945 AMSTERDAM AVENUE,,,,
1947 AMSTERDAM AVENUE,,,,
1949 AMSTERDAM AVENUE,,,,
195 COZINE AVENUE,,,,
195 DIVISION AVENUE,,,,
195 GRAHAM AVENUE,,,,
195 LINDEN STREET,,,,
195 SCHOLES STREET,,,,
196 MAUJER STREET,,,,
196 STAGG WALK,,,,
1961 SCHIEFFELIN AVENUE,,,,
1965 SCHIEFFELIN AVENUE,,,,
1968 AMSTERDAM AVENUE,,,,
197 SCHOLES STREET,,,,
197 STAGG WALK,,,,
197 TAPSCOTT STREET,,,,
197 TEN EYCK WALK,,,,
1970 AMSTERDAM AVENUE,,,,
198 MAUJER STREET,,,,
1981 SCHIEFFELIN AVENUE,,,,
1985 SCHIEFFELIN AVENUE,,,,
199 SCHOLES STREET,,,,
199 STAGG WALK,,,,
199 TAPSCOTT STREET,,,,
199 TEN EYCK WALK,,,,
200 MAUJER STREET,,,,
200 PALMETTO STREET,,,,
200 TEN EYCK WALK,,,,
201 SCHOLES STREET,,,,
201 TEN EYCK WALK,,,,
202 GRAHAM AVENUE,,,,
202 TEN EYCK WALK,,,,
2020 PACIFIC STREET,,,,
203 SCHOLES STREET,,,,
203 TEN EYCK WALK,,,,
204 GRAHAM AVENUE,,,,
2041 PACIFIC STREET,,,,
