,development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,no_days_open,one_yr_post_transfer
0,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530223,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-07,12/22/2024,12/15/2024,,,,508.0,9527346.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE KITCHEN LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION ''SOUTH''",2024-12-09,19.0,VIOLATION CLOSED,2025-07-29,Original,Close,N,2024,2024.0,2025-10-06,232.0,2024-11-27
1,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530224,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,484.0,9527344.0,"§ 329, M/D LAW AND DEPT. RULES AND REGS. PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR MISSING AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
2,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530230,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-07,12/22/2024,12/15/2024,,,,671.0,9527347.0,"§ 27-2033 ADM CODE POST NOTICE, IN FORM APPROVED BY THE DEPARTMENT, STATING THE NAME AND LOCATION OF THE PERSON DESIGNATED BY THE OWNER TO HAVE KEY TO BUILDINGS HEATING SYSTEM MISSING AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
3,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530221,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-06,12/19/2024,12/07/2024,,,,670.0,9525120.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION ''SOUTH''",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,Y,2024,2024.0,2025-10-06,301.0,2024-11-27
4,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530233,380678,390917.0,3,104,104,114,TAPSCOTT STREET,B,2024-12-06,2024-12-07,01/27/2025,01/13/2025,,,,501.0,9527345.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LATCH SET AT 1ST DOOR FROM SOUTH AT WEST LEADING TO WEST YARD AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
6,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17865877,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2025-04-28,2025-04-30,05/14/2025,05/07/2025,,,,510.0,9737918.0,"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE DAMAGE IN THE ENTIRE APARTMENT LOCATED AT APT 3H, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT NORTH",2025-05-01,19.0,VIOLATION CLOSED,2025-09-30,Original,Close,N,2025,2025.0,2025-10-06,152.0,2024-11-27
11,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530227,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,1501.0,9527344.0,"§ 27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
12,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530228,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,1506.0,9527344.0,"§ 27-2005 HMC: POST, IN A FORM APPROVED BY THE COMMISSIONER, AND MAINTAIN A NOTICE IN A COMMON AREA OF THE BUILDING REGARDING THE PROCEDURES THAT SHOULD BE FOLLOWED WHEN A GAS LEAK IS SUSPECTED AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
13,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530234,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-07,12/28/2024,12/23/2024,,,,530.0,9527349.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE LATCH SET AT 2ND DOOR FROM SOUTH AT WEST LEADING TO WEST YARD AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
14,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530235,380678,390917.0,3,104,104,114,TAPSCOTT STREET,B,2024-12-06,2024-12-07,01/27/2025,01/13/2025,,,,501.0,9527345.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LATCH SET AT 2ND DOOR FROM SOUTH AT WEST LEADING TO WEST YARD AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
15,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530236,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,708.0,9527344.0,"§ 27-2048 ADM CODE PAINT OR POST A SIGN INDICATING FLOORS AT 1ST, 2ND, 3RD AND 4TH STORY AT PUBLIC HALL",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
16,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530237,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-07,12/22/2024,12/15/2024,,,,502.0,9527347.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE 1ST CONCRETE THREAD FROM THE BOTTOM UP AT PUBLIC HALL STAIRS, 1st STORY, SECTION ''south''",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
17,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17866826,380678,390917.0,3,104,104,114,TAPSCOTT STREET,B,2025-04-28,2025-04-30,06/19/2025,06/05/2025,,,,508.0,9737917.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE 5th ROOM FROM NORTH LOCATED AT APT 1G, 1st STORY, 2nd APARTMENT FROM WEST AT NORTH , SECTION AT NORTH",2025-05-01,2.0,NOV SENT OUT,2025-05-01,Original,Open,N,2025,2025.0,2025-10-06,158.0,2024-11-27
18,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530231,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,722.0,9527344.0,"§ 27-2053 ADM CODE POST SIGN ON WALL OF ENTRANCE STORY BEARING NAME, ADDRESS INCLUDING APARTMENT NUMBER IF ANY, AND TELEPHONE NUMBER OF SUPERINTENDENT, JANITOR OR HOUSEKEEPER. AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
20,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530222,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-07,01/09/2025,01/04/2025,,,,568.0,9527348.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION ''SOUTH''",2024-12-09,47.0,NOTICE OF ISSUANCE SENT TO TENANT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
21,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530225,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,500.0,9527344.0,"§ 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYS HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
22,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530226,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,700.0,9527344.0,"§ 27-2045 ADM CODE POST A PROPER NOTICE OF SMOKE DETECTOR REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, AT OR NEAR THE MAIL BOX MISSING AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
23,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17867248,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2025-04-23,2025-04-30,05/20/2025,05/15/2025,,,,530.0,9737919.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE DOOR FRAME AT BUILDING ENTRANCE , 1st STORY",2025-05-01,2.0,NOV SENT OUT,2025-05-01,Original,Open,N,2025,2025.0,2025-10-06,158.0,2024-11-27
24,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530232,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-07,12/28/2024,12/23/2024,,,,530.0,9527349.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE LATCH SET AT 1ST DOOR FROM SOUTH AT WEST LEADING TO WEST YARD AT PUBLIC HALL, 1st STORY",2024-12-09,19.0,VIOLATION CLOSED,2025-05-27,Original,Close,N,2024,2024.0,2025-10-06,169.0,2024-11-27
26,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530229,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,778.0,9527344.0,"§ 27-2104 ADM CODE POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
27,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,18066917,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2025-07-03,2025-07-03,10/24/2025,10/10/2025,,,09/26/2025,501.0,9898116.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE DOOR FRAME IN THE ENTRANCE LOCATED AT APT 4C, 4th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-07-07,10.0,CIV14 MAILED,2025-10-02,Original,Open,N,2025,2025.0,2025-10-06,91.0,2024-11-27
28,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17882826,380678,390917.0,3,104,104,114,TAPSCOTT STREET,I,2025-05-06,2025-05-08,,,,,,765.0,,"§ 27-2142 ADM CODE APTS HAVE BEEN VACATED BY THIS DEPARTMENT AND CANNOT BE REOCCUPIED UNTIL SO ORDERED AFTER PROOF OF COMPLIANCE FOR APTS 3H, VACTE ORDER #259402 IN THE ENTIRE APARTMENT LOCATED AT APT, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",,19.0,VIOLATION CLOSED,2025-10-01,,Close,N,2025,,2025-10-06,,2024-11-27
29,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,18268173,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2025-09-29,2025-09-30,10/20/2025,10/15/2025,,,,530.0,10014901.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES AT BULKHEAD DOOR LEADING TO ROOF AT PUBLIC HALL STAIRS, 4th STORY",2025-10-01,2.0,NOV SENT OUT,2025-10-01,Original,Open,N,2025,2025.0,2025-10-06,5.0,2024-11-27
30,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17387869,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-10-31,2024-11-01,12/23/2024,12/09/2024,,,,506.0,9410292.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING MISSING UPPER AND LOWER CABINETS AT WEST WALL IN THE KITCHEN LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM NORTH AT EAST",2024-11-04,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,329.0,2021-11-30
31,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17387875,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-10-31,2024-11-01,12/23/2024,12/09/2024,,,,506.0,9410293.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING SINK AT WEST WALL IN THE KITCHEN LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM NORTH AT EAST",2024-11-04,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,329.0,2021-11-30
32,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,15755633,603,144838.0,1,344,334,350,EAST 28 STREET,C,2023-03-03,2023-03-05,03/19/2023,03/12/2023,,,03/07/2023,672.0,8312198.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM LOCKED DOOR AT BOILER ROOM,2023-03-06,9.0,VIOLATION DISMISSED,2023-05-18,Original,Close,N,2023,2023.0,2025-10-06,73.0,2021-11-30
33,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17885009,603,144838.0,1,344,334,350,EAST 28 STREET,B,2025-05-09,2025-05-10,06/30/2025,06/16/2025,,,,501.0,9750839.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE OUTLET AT NORTH WALL IN THE BATHROOM LOCATED AT APT 6D, 6th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-05-12,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2025,2025.0,2025-10-06,147.0,2021-11-30
34,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17353164,603,144838.0,1,344,334,350,EAST 28 STREET,A,2024-10-17,2024-10-17,02/04/2025,01/21/2025,,,11/14/2024,550.0,9386508.0,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQUARE FT AT NORTH WALL IN THE KITCHEN LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-10-18,9.0,VIOLATION DISMISSED,2025-01-27,Original,Close,N,2024,2024.0,2025-10-06,101.0,2021-11-30
35,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17559487,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-12-16,2024-12-16,02/04/2025,01/21/2025,,,,504.0,9539206.0,"§ 27-2005 ADM CODE PROVIDE HEAVY DUTY LATCH SET AND ASSEMBLY AT BUILDING ENTRANCE DOOR , 1st STORY",2024-12-17,21.0,NOT COMPLIED WITH,2025-09-30,Original,Open,N,2024,2024.0,2025-10-06,293.0,2021-11-30
36,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17559488,603,144838.0,1,344,334,350,EAST 28 STREET,C,2024-12-16,2024-12-16,12/30/2024,12/23/2024,,,,526.0,9539207.0,"§ 27-2005, 2007 ADM CODE REMOVE THE ILLEGAL FASTENING CONSISTING OF DUAL MOTION ELECTROMAGNETIC LACK AT ENTRANCE DOOR TO BUILDING , 1st STORY",2024-12-17,21.0,NOT COMPLIED WITH,2025-09-30,Original,Open,Y,2024,2024.0,2025-10-06,293.0,2021-11-30
37,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17482355,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-11-29,2024-11-29,01/20/2025,01/06/2025,,,,508.0,9485846.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE NORTH AND WEST WALLS IN THE 7th ROOM FROM NORTH LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-12-02,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,301.0,2021-11-30
38,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17482359,603,144838.0,1,344,334,350,EAST 28 STREET,C,2024-11-29,2024-11-29,12/15/2024,12/08/2024,,,,526.0,9485847.0,"§ 27-2005, 2007 ADM CODE REMOVE THE ILLEGAL FASTENING CONSISTING OF DUAL MOTION ELECTIRIC MAGNETIC LOCK AT ENTRANCE DOOR TO BUILDING",2024-12-02,21.0,NOT COMPLIED WITH,2025-09-30,Original,Open,Y,2024,2024.0,2025-10-06,308.0,2021-11-30
39,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17559486,603,144838.0,1,344,334,350,EAST 28 STREET,C,2024-12-16,2024-12-16,12/29/2024,12/17/2024,,,,670.0,9539105.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 13F, 23rd STORY, 2nd APARTMENT FROM WEST AT NORTH",2024-12-17,9.0,VIOLATION DISMISSED,2025-01-03,Original,Close,Y,2024,2024.0,2025-10-06,17.0,2021-11-30
40,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17559485,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-12-16,2024-12-18,02/06/2025,01/23/2025,,,,501.0,9542944.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE RETURN BELL BUZZER AT BUILDING ENTRANCE TO PANEL IN THE FOYER LOCATED AT APT 13F, 23rd STORY, 2nd APARTMENT FROM WEST AT NORTH",2024-12-19,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2024,2024.0,2025-10-06,291.0,2021-11-30
41,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17482356,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-11-29,2024-12-02,01/21/2025,01/07/2025,,,,506.0,9496146.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING SINK IN THE KITCHEN LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-12-03,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,300.0,2021-11-30
42,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17507043,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-11-29,2024-12-02,01/21/2025,01/07/2025,,,,509.0,9496146.0,"§ 27-2005 ADM CODE PROPERLY SECURE THE LOOSE LOWER CABINETS AT NORTH WALL IN THE KITCHEN LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-12-03,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,300.0,2021-11-30
44,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16150994,603,144838.0,1,344,334,350,EAST 28 STREET,C,2023-08-09,2023-08-09,09/10/2023,09/05/2023,,,,569.0,8593530.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-08-10,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2023,2023.0,2025-10-06,788.0,2021-11-30
45,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16081929,603,144838.0,1,344,334,350,EAST 28 STREET,B,2023-07-06,2023-07-07,08/28/2023,08/14/2023,,,07/21/2023,501.0,8551113.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE ENTRANCE DOOR IN THE 3rd ROOM FROM NORTH LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2023-07-10,9.0,VIOLATION DISMISSED,2023-10-02,Original,Close,N,2023,2023.0,2025-10-06,84.0,2021-11-30
46,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16678602,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-02-16,2024-02-16,04/09/2024,03/26/2024,,,,501.0,8947290.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE ELECTRICAL OUTLET AT WEST WALL IN THE 7th ROOM FROM NORTH LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-02-20,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,587.0,2021-11-30
47,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16678600,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-02-16,2024-02-16,04/09/2024,03/26/2024,,,,529.0,8947290.0,"§ 27-2005 HMC: REFIT ENTRANCE DOOR IN THE 1st ROOM FROM NORTH LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-02-20,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,587.0,2021-11-30
48,344 EAST 28TH STREET,MANHATTAN,225,2020-11-30,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,15755632,603,144838.0,1,344,334,350,EAST 28 STREET,C,2023-03-03,2023-03-04,03/16/2023,03/04/2023,,,,670.0,8312049.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE BATHROOM LOCATED AT APT 24F, 25th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-03-06,19.0,VIOLATION CLOSED,2024-05-17,Original,Close,Y,2023,2023.0,2025-10-06,438.0,2021-11-30
