,development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,no_days_open,one_yr_post_transfer
5077,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17284851,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,C,2024-09-16,2024-09-16,10/16/2024,10/11/2024,,,,617.0,9339938.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) CEILING, NORTH WALL, SOUTH WALL, EAST WALL IN THE KITCHEN LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-09-17,2.0,NOV SENT OUT,2024-09-17,Original,Open,N,2024,2024.0,2025-10-06,384.0,2024-06-26
5078,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17284852,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,C,2024-09-16,2024-09-16,10/16/2024,10/11/2024,,,,624.0,9339938.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD-PAINT THAT IS XRF TESTED INCONCLUSIVE FOR LEAD CONTENT AT 0.5MG/CM2 AND IS PRESUMED LEAD PAINT AS SET FORTH IN (28 RCNY §11-07(b)) AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE-USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(b)(2) WEST WALL IN THE KITCHEN LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-09-17,2.0,NOV SENT OUT,2024-09-17,Original,Open,N,2024,2024.0,2025-10-06,384.0,2024-06-26
5079,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17284853,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,C,2024-09-16,2024-09-16,10/16/2024,10/11/2024,,,,617.0,9339938.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) WEST WALL IN THE 5th ROOM FROM NORTH LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-09-17,2.0,NOV SENT OUT,2024-09-17,Original,Open,N,2024,2024.0,2025-10-06,384.0,2024-06-26
5080,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17284854,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,C,2024-09-16,2024-09-16,10/16/2024,10/11/2024,,,,617.0,9339938.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) CEILING IN THE BATHROOM LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-09-17,2.0,NOV SENT OUT,2024-09-17,Original,Open,N,2024,2024.0,2025-10-06,384.0,2024-06-26
5081,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17284855,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,C,2024-09-16,2024-09-16,10/16/2024,10/11/2024,,,,624.0,9339938.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD-PAINT THAT IS XRF TESTED INCONCLUSIVE FOR LEAD CONTENT AT 0.5MG/CM2 AND IS PRESUMED LEAD PAINT AS SET FORTH IN (28 RCNY §11-07(b)) AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE-USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(b)(2) WEST WALL IN THE BATHROOM LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-09-17,2.0,NOV SENT OUT,2024-09-17,Original,Open,N,2024,2024.0,2025-10-06,384.0,2024-06-26
5082,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17297414,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,C,2024-09-24,2024-09-24,10/08/2024,10/01/2024,,,10/01/2024,501.0,9352514.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE OUTLETS AT WEST WALL IN THE 3rd ROOM FROM NORTH AT WEST LOCATED AT APT 14B, 14th STORY, 4th APARTMENT FROM NORTH AT EAST",2024-09-25,9.0,VIOLATION DISMISSED,2024-12-12,Original,Close,N,2024,2024.0,2025-10-06,78.0,2024-06-26
5083,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17310041,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,B,2024-09-28,2024-09-28,11/18/2024,11/04/2024,,,,501.0,9359822.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE VENTILATION SYSTEM AT EAST WALL IN THE KITCHEN LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2024-09-30,2.0,NOV SENT OUT,2024-09-30,Original,Open,N,2024,2024.0,2025-10-06,371.0,2024-06-26
5084,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17323980,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2024-09-30,2024-10-02,01/20/2025,01/06/2025,,,12/30/2024,556.0,9364682.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT .. 1st DOOR FRAME FROM SOUTH AT WEST WALL IN THE FOYER LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-10-03,9.0,VIOLATION DISMISSED,2025-03-12,Original,Close,N,2024,2024.0,2025-10-06,160.0,2024-06-26
5085,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17338636,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2024-10-07,2024-10-07,01/25/2025,01/11/2025,,,12/30/2024,556.0,9371884.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT WEST WALL IN THE 2nd ROOM FROM EAST LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2024-10-08,9.0,VIOLATION DISMISSED,2025-03-12,Original,Close,N,2024,2024.0,2025-10-06,155.0,2024-06-26
5086,EDENWALD,BRONX,2039,2023-06-27,1160 229 DRIVE SOUTH,1160.0,229 DRIVE SOUTH,1160 229 DRIVE SOUTH,17338638,807151,228725.0,2,1160,1160,1160,229 DRIVE SOUTH,A,2024-10-07,2024-10-07,01/25/2025,01/11/2025,,,12/30/2024,556.0,9371884.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT WEST WALL IN THE BATHROOM LOCATED AT APT 8H, 8th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2024-10-08,9.0,VIOLATION DISMISSED,2025-03-12,Original,Close,N,2024,2024.0,2025-10-06,155.0,2024-06-26
