,full_address,A,B,C,I,,,,,,
90,434 BEACH 58 STREET,13,16,19,,,,,,,
91,54-22 BEACH CHANNEL DRIVE,6,3,19,,,,,,,
92,725 STANLEY AVENUE,29,36,19,,,,,,,
93,175 TAPSCOTT STREET,30,28,19,,,,,,,
94,51-32 BEACH CHANNEL DRIVE,3,23,18,,,,,,,
95,409 BEACH 51 STREET,3,12,18,,,,,,,
96,455 EAST 146 STREET,11,20,18,,,,,,,
97,1468 PARK PLACE,25,11,18,,,,,,,
98,215 SCHOLES STREET,12,29,18,,,,,,,
99,196 MAUJER STREET,3,,18,,,,,,,
100,698 RALPH AVENUE,23,11,17,,,,,,,
101,726 STANLEY AVENUE,12,7,17,,,,,,,
102,515 WEST 134 STREET,5,18,17,,,,,,,
103,220 LINDEN STREET,22,28,17,1,,,,,,
104,115 EAST 122 STREET,7,28,17,1,,,,,,
105,416 EAST 137 STREET,4,8,16,,,,,,,
106,630 STANLEY AVENUE,16,4,16,,,,,,,
107,1504 AMSTERDAM AVENUE,19,28,16,,,,,,,
108,845 SCHENCK AVENUE,5,18,16,,,,,,,
109,1175 EAST 229 STREET,18,27,16,,,,,,,
110,2175 REEDS MILL LANE,5,15,16,,,,,,,
111,184 TAPSCOTT STREET,2,4,15,,,,,,,
112,1077 CASTLETON AVENUE,8,10,15,1,,,,,,
113,2069 UNION STREET,18,5,15,1,,,,,,
114,400 EAST 147 STREET,7,16,15,,,,,,,
115,441 BEACH 51 STREET,2,9,15,,,,,,,
116,740 BEACH AVENUE,,16,15,,,,,,,
117,172 MENAHAN STREET,21,16,15,1,,,,,,
118,148 WEST 144 STREET,4,4,15,,,,,,,
119,112 WEST 139 STREET,3,2,15,,,,,,,
120,778 HENDERSON AVENUE,5,11,15,1,,,,,,
121,1125 229 DRIVE NORTH,25,14,15,,,,,,,
122,1588 STERLING PLACE,12,13,15,,,,,,,
123,285 COZINE AVENUE,20,12,14,,,,,,,
124,3861 BAYCHESTER AVENUE,12,24,14,,,,,,,
125,2219 PITKIN AVENUE,7,45,14,1,,,,,,
126,125 PALMETTO STREET,9,6,14,1,,,,,,
127,1506 STERLING PLACE,10,9,14,,,,,,,
128,87 TEN EYCK WALK,44,2,14,,,,,,,
129,1521 STERLING PLACE,9,7,14,,,,,,,
130,195 COZINE AVENUE,16,7,14,,,,,,,
131,51-49 ALMEDA AVENUE,3,8,14,,,,,,,
132,1155 EAST 225 STREET,2,3,14,,,,,,,
133,511 EAST 146 STREET,10,25,14,,,,,,,
134,514 WEST 177 STREET,6,5,14,,,,,,,
135,1130 226 DRIVE,37,16,14,,,,,,,
136,830 ASHFORD STREET,14,16,14,,,,,,,
137,521 EAST 146 STREET,3,5,14,,,,,,,
138,418 JEROME STREET,17,12,14,1,,,,,,
139,529 WEST 133 STREET,15,13,14,,,,,,,
140,199 TAPSCOTT STREET,5,5,13,,,,,,,
141,133 WEST 144 STREET,4,4,13,,,,,,,
142,507 HOWARD AVENUE,3,10,13,1,,,,,,
143,1159 229 DRIVE NORTH,9,22,13,,,,,,,
144,251 CENTRAL AVENUE,15,5,13,1,,,,,,
145,250 WORTMAN AVENUE,8,5,13,,,,,,,
146,1636 PARK PLACE,6,10,13,,,,,,,
147,54-30 BEACH CHANNEL DRIVE,5,24,12,,,,,,,
148,725 HOWARD AVENUE,10,11,12,,,,,,,
149,2403 ADAM C POWELL BOULEVARD,13,11,12,1,,,,,,
150,1137 229 DRIVE NORTH,10,16,12,,,,,,,
151,1183 226 DRIVE,6,5,12,,,,,,,
152,540 EAST 144 STREET,3,21,12,,,,,,,
153,163 WEST 143 STREET,10,2,12,,,,,,,
154,1173 229 DRIVE NORTH,10,6,12,,,,,,,
155,413 EAST 146 STREET,3,4,12,,,,,,,
156,410 BEACH 54 STREET,,4,12,,,,,,,
157,804 ASHFORD STREET,15,12,12,,,,,,,
158,710 NOBLE AVENUE,10,30,11,,,,,,,
159,54-49 ALMEDA AVENUE,3,8,11,,,,,,,
160,54-81 ALMEDA AVENUE,4,5,11,,,,,,,
161,104 TAPSCOTT STREET,12,5,11,1,,,,,,
162,1871 SCHIEFFELIN PLACE,6,20,11,,,,,,,
163,511 WEST 134 STREET,5,12,10,,,,,,,
164,123 TAYLOR STREET,13,16,10,,,,,,,
165,1420 AMSTERDAM AVENUE,1,5,10,,,,,,,
166,1920 SCHIEFFELIN AVENUE,10,26,10,,,,,,,
167,330 LEXINGTON AVENUE,4,6,10,,,,,,,
168,750 CROES AVENUE,2,7,10,,,,,,,
169,1452 STERLING PLACE,3,12,10,,,,,,,
170,234 ROCHESTER AVENUE,1,11,10,,,,,,,
171,1107 EAST 229 STREET,,2,10,,,,,,,
172,411 EAST 136 STREET,5,5,10,,,,,,,
173,2461 ADAM C POWELL BOULEVARD,4,4,10,,,,,,,
174,445 EAST 146 STREET,4,4,10,,,,,,,
175,551 EAST 143 STREET,2,3,10,,,,,,,
176,525 EAST 146 STREET,2,26,10,,,,,,,
177,502 WEST 177 STREET,10,13,10,,,,,,,
178,1511 STERLING PLACE,8,13,9,,,,,,,
179,545 WEST 126 STREET,10,16,9,1,,,,,,
180,728 HOWARD AVENUE,11,2,9,,,,,,,
181,1640 PARK PLACE,4,8,9,,,,,,,
182,501 HOWARD AVENUE,2,,9,1,,,,,,
183,2453 ADAM C POWELL BOULEVARD,2,3,9,,,,,,,
184,530 WEST 133 STREET,8,8,9,,,,,,,
185,3240 BROADWAY,1,6,9,1,,,,,,
186,1154 229 DRIVE SOUTH,8,5,9,,,,,,,
187,300 WORTMAN AVENUE,19,3,9,,,,,,,
188,295 COZINE AVENUE,6,11,9,,,,,,,
189,1646 PARK PLACE,4,4,9,,,,,,,
190,1142 LENOX ROAD,1,8,9,,,,,,,
191,1145 EAST 229 STREET,3,5,9,,,,,,,
192,361 WORTMAN AVENUE,14,4,9,,,,,,,
193,2045 UNION STREET,2,10,8,,,,,,,
194,602 HOWARD AVENUE,2,,8,,,,,,,
195,2156 LINDEN BOULEVARD,4,17,8,,,,,,,
196,601 CROTONA PARK NORTH,12,8,8,,,,,,,
197,580 CENTRAL AVENUE,23,9,8,1,,,,,,
198,780 HENDERSON AVENUE,7,5,8,1,,,,,,
199,2405 ADAM C POWELL BOULEVARD,1,2,8,1,,,,,,
200,574 HOWARD AVENUE,14,1,8,,,,,,,
201,220 WEST 152 STREET,8,2,8,1,,,,,,
202,1630 PARK PLACE,1,,8,,,,,,,
203,75 COVERT STREET,7,,8,1,,,,,,
204,1144 LENOX ROAD,9,14,8,1,,,,,,
205,514 WEST 134 STREET,16,16,8,,,,,,,
206,255 HAVEMEYER STREET,13,6,8,,,,,,,
207,690 EAST 140 STREET,7,11,8,,,,,,,
208,1722 STERLING PLACE,,6,8,,,,,,,
209,503 WEST 177 STREET,3,5,8,,,,,,,
210,1981 SCHIEFFELIN AVENUE,8,3,8,,,,,,,
211,411 BEACH 54 STREET,1,2,8,,,,,,,
212,54-75 ALMEDA AVENUE,2,7,8,,,,,,,
213,120 WEST 140 STREET,4,6,8,,,,,,,
214,1259 GREENE AVENUE,4,4,7,2,,,,,,
215,2401 ADAM C POWELL BOULEVARD,1,12,7,,,,,,,
216,188 MARCY AVENUE,7,10,7,,,,,,,
217,125 WEST 144 STREET,3,10,7,,,,,,,
218,1115 EAST 225 STREET,2,3,7,,,,,,,
219,405 LEXINGTON AVENUE,3,6,7,,,,,,,
220,595 EVERGREEN AVENUE,13,11,7,1,,,,,,
221,325 ROEBLING STREET,10,13,7,,,,,,,
222,1763 STERLING PLACE,2,,7,1,,,,,,
223,160 MAUJER STREET,2,7,7,,,,,,,
224,1130 229 DRIVE SOUTH,6,13,7,,,,,,,
225,319 LEXINGTON AVENUE,2,,7,1,,,,,,
226,905 EAGLE AVENUE,5,12,7,1,,,,,,
227,178 MAUJER STREET,3,4,7,,,,,,,
228,1175 EAST 225 STREET,,2,7,,,,,,,
229,1728 STERLING PLACE,1,1,7,,,,,,,
230,1075 CASTLETON AVENUE,1,8,7,1,,,,,,
231,117 WEST 144 STREET,1,2,7,,,,,,,
232,551 RALPH AVENUE,,,6,,,,,,,
233,2211 PITKIN AVENUE,1,13,6,,,,,,,
234,155 WORTMAN AVENUE,17,23,6,1,,,,,,
235,1861 SCHIEFFELIN PLACE,4,5,6,,,,,,,
236,534 GREENE AVENUE,5,14,6,1,,,,,,
237,1629 PARK PLACE,9,23,6,,,,,,,
238,1325 FRANKLIN AVENUE,1,1,6,,,,,,,
239,1805 CROTONA AVENUE,9,33,6,,,,,,,
240,3800 3 AVENUE,8,3,6,,,,,,,
241,414 BEACH 58 STREET,1,4,6,,,,,,,
242,180 WORTMAN AVENUE,5,9,6,,,,,,,
