,full_address,A,B,C,I,,,,,,
471,232 ROCHESTER AVENUE,1,,,,,,,,,
472,240 BROADWAY,4,,,3,,,,,,
473,2409 ADAM C POWELL BOULEVARD,1,,,,,,,,,
474,244 BROADWAY,1,,,1,,,,,,
475,2469 ADAM C POWELL BOULEVARD,1,,,,,,,,,
476,2477 ADAM C POWELL BOULEVARD,1,,,,,,,,,
477,250 LEXINGTON AVENUE,,,,1,,,,,,
478,250 WILSON AVENUE,3,,,1,,,,,,
479,252 LEXINGTON AVENUE,,,,1,,,,,,
480,254 LEXINGTON AVENUE,,,,1,,,,,,
481,260 BROADWAY,1,,,1,,,,,,
482,264 LEXINGTON AVENUE,4,,,1,,,,,,
483,269 CENTRAL AVENUE,3,,,1,,,,,,
484,278 LEXINGTON AVENUE,,,,1,,,,,,
485,280 LEXINGTON AVENUE,,,,1,,,,,,
486,282 LEXINGTON AVENUE,,,,2,,,,,,
487,284 LEXINGTON AVENUE,,,,1,,,,,,
488,286 LEXINGTON AVENUE,,,,1,,,,,,
489,288 LEXINGTON AVENUE,5,8,,1,,,,,,
490,289 CENTRAL AVENUE,3,,,,,,,,,
491,290 LEXINGTON AVENUE,,,,1,,,,,,
492,292 LEXINGTON AVENUE,,,,1,,,,,,
493,296 LEXINGTON AVENUE,2,,,3,,,,,,
494,298 LEXINGTON AVENUE,,,,1,,,,,,
495,300 LEXINGTON AVENUE,,,,2,,,,,,
496,304 LEXINGTON AVENUE,,,,2,,,,,,
497,310 CENTRAL AVENUE,4,,,1,,,,,,
498,320 LEXINGTON AVENUE,2,,,1,,,,,,
499,325 LEXINGTON AVENUE,4,,,3,,,,,,
500,334 HOWARD AVENUE,1,,,,,,,,,
501,336 LEXINGTON AVENUE,1,,,,,,,,,
502,338 LEFFERTS AVENUE,4,12,,,,,,,,
503,342 LEFFERTS AVENUE,,1,,,,,,,,
504,344 CLIFTON PLACE,,,,1,,,,,,
505,346 CLIFTON PLACE,,,,1,,,,,,
506,3475 BIVONA STREET,3,3,,,,,,,,
507,348 CLIFTON PLACE,,,,1,,,,,,
508,350 CLIFTON PLACE,,,,1,,,,,,
509,352 CLIFTON PLACE,,,,1,,,,,,
510,354 CLIFTON PLACE,3,6,,1,,,,,,
511,356 CLIFTON PLACE,,,,1,,,,,,
512,358 CLIFTON PLACE,,,,1,,,,,,
513,360 CLIFTON PLACE,4,5,,1,,,,,,
514,362 CLIFTON PLACE,,13,,1,,,,,,
515,395 LEXINGTON AVENUE,2,,,1,,,,,,
516,399 CENTRAL AVENUE,2,,,1,,,,,,
517,447 GATES AVENUE,,4,,1,,,,,,
518,451 GATES AVENUE,,,,1,,,,,,
519,453 GATES AVENUE,,,,1,,,,,,
520,455 GATES AVENUE,,,,1,,,,,,
521,459 GATES AVENUE,,,,1,,,,,,
522,46 SOUTH 9 STREET,2,,,,,,,,,
523,463 GATES AVENUE,,,,1,,,,,,
524,465 GATES AVENUE,,3,,1,,,,,,
525,467 GATES AVENUE,,,,1,,,,,,
526,469 GATES AVENUE,,,,1,,,,,,
527,473 GATES AVENUE,,,,1,,,,,,
528,475 GATES AVENUE,,5,,1,,,,,,
529,497 HOWARD AVENUE,1,,,,,,,,,
530,503 HOWARD AVENUE,2,,,1,,,,,,
531,504 HOWARD AVENUE,1,2,,,,,,,,
532,505 HOWARD AVENUE,2,,,1,,,,,,
533,506 HOWARD AVENUE,2,,,1,,,,,,
534,508 HOWARD AVENUE,2,,,1,,,,,,
535,509 HOWARD AVENUE,2,,,1,,,,,,
536,511 EAST 143 STREET,1,,,,,,,,,
537,518 GREENE AVENUE,1,,,,,,,,,
538,528 GREENE AVENUE,2,,,1,,,,,,
539,531 EAST 143 STREET,,6,,,,,,,,
540,537 RALPH AVENUE,2,,,,,,,,,
541,539 RALPH AVENUE,3,,,1,,,,,,
542,544 CLAREMONT PARKWAY,2,1,,1,,,,,,
543,560 EAST 144 STREET,1,,,,,,,,,
544,582 HOWARD AVENUE,3,,,2,,,,,,
545,615 EVERGREEN AVENUE,3,,,1,,,,,,
546,670 EVERGREEN AVENUE,3,1,,1,,,,,,
547,690 EVERGREEN AVENUE,3,,,1,,,,,,
548,699 EAST 139 STREET,2,,,,,,,,,
549,821 CAULDWELL AVENUE,1,,,1,,,,,,
550,830 EAGLE AVENUE,1,,,1,,,,,,
551,85 COVERT STREET,4,,,2,,,,,,
552,92 SOUTH 10 STREET,2,,,,,,,,,
553,96 SOUTH 10 STREET,2,,,,,,,,,
