development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17423002,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,A,2024-11-16,2024-11-15,03/07/2025,02/21/2025,,,03/06/2025,1506.0,9430552.0,"§ 27-2005 HMC: POST, IN A FORM APPROVED BY THE COMMISSIONER, AND MAINTAIN A NOTICE IN A COMMON AREA OF THE BUILDING REGARDING THE PROCEDURES THAT SHOULD BE FOLLOWED WHEN A GAS LEAK IS SUSPECTED",2024-11-18,9.0,VIOLATION DISMISSED,05/19/2025,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17496170,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2024-12-02,2024-12-02,01/21/2025,01/07/2025,,,01/20/2025,579.0,9496402.0,"§ 27-2026 ADM CODE REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT BATHTUB IN THE BATHROOM LOCATED AT APT 2J, 2nd STORY, 6th APARTMENT FROM WEST AT NORTH",2024-12-03,9.0,VIOLATION DISMISSED,04/02/2025,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17610350,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-10,2025-01-10,02/01/2025,01/27/2025,,,01/31/2025,530.0,9574978.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE LATCH SET AT BUILDING ENTRANCE DOOR (FROM VESTIBULE TO BASEMENT STORY PUBLIC HALL) AT PUBLIC HALL",2025-01-13,19.0,VIOLATION CLOSED,02/22/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17610351,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-10,2025-01-10,01/26/2025,01/19/2025,,,01/22/2025,501.0,9574977.0,§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE HEAVY DUTY LOCK LATCH AND ASSEMBLY AT BUILDING ENTRANCE DOOR (FROM VESTIBULE TO BASEMENT STORY PUBLIC HALL) AT PUBLIC HALL,2025-01-13,9.0,VIOLATION DISMISSED,04/04/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17610352,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-10,2025-01-10,01/26/2025,01/19/2025,,,01/22/2025,501.0,9574977.0,§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE HEAVY DUTY LOCK LATCH AND ASSEMBLY AT BUILDING ENTRANCE DOOR (FROM VESTIBULE TO 1ST STORY PUBLIC HALL) AT PUBLIC HALL,2025-01-13,9.0,VIOLATION DISMISSED,04/04/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17610353,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-10,2025-01-10,01/26/2025,01/19/2025,,,01/22/2025,502.0,9574977.0,§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDENT MATERIAL AT CEILING AT PUBLIC HALL,2025-01-13,9.0,VIOLATION DISMISSED,04/04/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17610354,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-10,2025-01-10,01/26/2025,01/19/2025,,,01/22/2025,583.0,9574977.0,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK ACTIVE LEAK ABOVE CEILING AT PUBLIC HALL",2025-01-13,9.0,VIOLATION DISMISSED,04/04/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17610357,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-10,2025-01-10,01/26/2025,01/19/2025,,,01/22/2025,502.0,9574977.0,§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDENT MATERIAL AT CEILING AT PUBLIC HALL,2025-01-13,9.0,VIOLATION DISMISSED,04/04/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17610358,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-10,2025-01-10,01/26/2025,01/19/2025,,,01/22/2025,583.0,9574977.0,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK ACTIVE LEAK ABOVE CEILING AT PUBLIC HALL",2025-01-13,9.0,VIOLATION DISMISSED,04/04/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17621779,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-14,2025-01-14,01/28/2025,01/21/2025,,,01/23/2025,672.0,9580055.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM LOCKED DOOR AT BOILER ROOM,2025-01-15,9.0,VIOLATION DISMISSED,04/07/2025,Original,Close,N,2025,2025.0
