,level_0,Unnamed: 0,bbl,bldg#,m,direction,house_num,street_name,street_type,zip,full_address,index,development,transfer_date,borough,units,_merge,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,days_converted,vio_days_after_conversion,yr_post_conversion,days_vio_open,vio_open_range
8497,8990,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,14790203,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2022-01-19,2022-01-20,02/03/2022,01/27/2022,,,,501.0,7613934.0,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE MORTISE LOCKSET, AT THE FRONT ENTRANCE DOOR TO THE BUILDING IN THE BATHROOM LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",2022-01-21,9.0,VIOLATION DISMISSED,2022-06-17,Original,Close,N,2022,2022.0,2025-11-23,3249 days,1845 days,5,147 days,three to six months
8498,8991,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,16041573,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2023-06-16,2023-06-16,07/09/2023,07/04/2023,,,07/07/2023,530.0,8529118.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE .. IN THE ENTRANCE LOCATED AT APT 3C, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",2023-06-20,9.0,VIOLATION DISMISSED,2023-09-18,Original,Close,N,2023,2023.0,2025-11-23,3249 days,2358 days,6,90 days,one to three months
8499,8992,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,16041574,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2023-06-16,2023-06-16,07/21/2023,07/16/2023,,,,569.0,8529117.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 3C, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",2023-06-20,19.0,VIOLATION CLOSED,2024-09-18,Original,Close,N,2023,2023.0,2025-11-23,3249 days,2358 days,6,456 days,more than a year
8500,8993,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,12357280,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2018-04-26,2018-04-27,05/13/2018,05/08/2018,,,05/09/2018,508.0,6076955.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE SOUTH WALL IN THE 1st LIVING ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, APARTMENT AT EAST",2018-04-30,19.0,VIOLATION CLOSED,2018-09-20,Original,Close,N,2018,2018.0,2025-11-23,3249 days,481 days,1,143 days,three to six months
8501,8994,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,12357287,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2018-04-26,2018-04-27,05/13/2018,05/08/2018,,,05/15/2018,550.0,6076956.0,"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... ON THE SOUTH WALL IN THE 1st LIVING ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, APARTMENT AT EAST",2018-04-30,19.0,VIOLATION CLOSED,2018-07-30,Original,Close,N,2018,2018.0,2025-11-23,3249 days,481 days,1,91 days,three to six months
8502,8995,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,12357316,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2018-04-26,2018-04-27,05/13/2018,05/08/2018,,,05/09/2018,583.0,6076955.0,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK ON THE SOUTH WALL IN THE 1st LIVING ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, APARTMENT AT EAST",2018-04-30,19.0,VIOLATION CLOSED,2018-07-30,Original,Close,N,2018,2018.0,2025-11-23,3249 days,481 days,1,91 days,three to six months
8503,8996,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,12362234,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,B,2018-04-30,2018-05-01,06/20/2018,06/06/2018,,,06/18/2018,508.0,6079708.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE EAST WALL IN THE 4th ROOM FROM EAST LOCATED AT APT 6H, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",2018-05-02,9.0,VIOLATION DISMISSED,2018-08-29,Original,Close,N,2018,2018.0,2025-11-23,3249 days,485 days,1,119 days,three to six months
8504,8997,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,12362237,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,B,2018-04-30,2018-05-01,06/20/2018,06/06/2018,,,06/18/2018,508.0,6079708.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE WEST WALL, EAST WALL, CEILING IN THE 3rd ROOM FROM EAST LOCATED AT APT 6H, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",2018-05-02,9.0,VIOLATION DISMISSED,2018-08-29,Original,Close,N,2018,2018.0,2025-11-23,3249 days,485 days,1,119 days,three to six months
8505,8998,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,12362240,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,B,2018-04-30,2018-05-01,06/20/2018,06/06/2018,,,06/18/2018,568.0,6079708.0,"§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF ROACHES LOCATED AT APT 6H, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",2018-05-02,9.0,VIOLATION DISMISSED,2018-08-29,Original,Close,N,2018,2018.0,2025-11-23,3249 days,485 days,1,119 days,three to six months
8506,8999,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,12362612,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,A,2018-04-30,2018-05-01,08/19/2018,08/05/2018,,,08/17/2018,556.0,6079707.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE 4th ROOM FROM EAST, THE 3rd ROOM FROM EAST LOCATED AT APT 6H, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",2018-05-02,19.0,VIOLATION CLOSED,2018-09-20,Original,Close,N,2018,2018.0,2025-11-23,3249 days,485 days,1,141 days,three to six months
