,level_0,Unnamed: 0,bbl,bldg#,m,direction,house_num,street_name,street_type,zip,full_address,index,development,transfer_date,borough,units,_merge,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,days_converted,vio_days_after_conversion,yr_post_conversion,days_vio_open,vio_open_range
2236,2293,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,15007558,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,A,2022-03-08,2022-03-08,06/25/2022,06/11/2022,,,,1507.0,7794298.0,"(A) § HMC:FILE ANNUAL BEDBUG REPORT IN ACCORDANCE WITH HPD RULE AS DESCRIBED ON THE BACK OF THIS NOTICE OF VIOLATION OR AS DESCRIBED ON HPDS WEBSITE, WWW.NYC.GOV\HPD, SEARCH BED BUGS.",2022-03-08,9.0,VIOLATION DISMISSED,2022-07-25,Original,Close,N,2022,2022.0,2025-11-23,1426 days,70 days,0,139 days,three to six months
2237,2294,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16314451,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,B,2023-10-17,2023-10-17,12/06/2023,11/22/2023,,,04/25/2025,506.0,8690080.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING 2 ESCUTCHEON PLATES AT 2 HEAT RISERS, AT THE CEILING IN THE BATHROOM LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",2023-10-18,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2025-06-14,Original,Open,N,2023,2023.0,2025-11-23,1426 days,658 days,1,767 days,more than a year
2238,2295,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16314455,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2023-10-17,2023-10-17,11/06/2023,11/01/2023,,,11/06/2023,530.0,8690082.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE FIRE DOOR AT NORTH WALL TO PUBLIC STAIRS AT PUBLIC HALL, 1st STORY",2023-10-18,19.0,VIOLATION CLOSED,2024-03-30,Original,Close,N,2023,2023.0,2025-11-23,1426 days,658 days,1,164 days,three to six months
2239,2296,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16634540,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-01-30,2024-02-02,03/07/2024,03/02/2024,,,02/08/2024,791.0,8927833.0,§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) THROUGHOUT THE PUBLIC AREAS IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12.,2024-02-05,9.0,VIOLATION DISMISSED,2024-04-22,Original,Close,N,2024,2024.0,2025-11-23,1426 days,763 days,2,77 days,one to three months
2240,2297,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16634543,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-01-30,2024-02-01,03/04/2024,02/28/2024,,,02/08/2024,791.0,8924112.0,§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) THROUGHOUT THE PUBLIC AREAS IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12.,2024-02-02,9.0,VIOLATION DISMISSED,2024-04-22,Original,Close,N,2024,2024.0,2025-11-23,1426 days,763 days,2,80 days,one to three months
2241,2298,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16634545,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-01-30,2024-02-01,02/15/2024,02/08/2024,,,02/08/2024,501.0,8924110.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE GLASS PANE AT LOWER SASH AT 2ND WINDOW FROM EAST AT SOUTH WALL AT PUBLIC HALL, 5th STORY, SECTION ''797''",2024-02-02,9.0,VIOLATION DISMISSED,2024-04-22,Original,Close,N,2024,2024.0,2025-11-23,1426 days,763 days,2,80 days,one to three months
2242,2299,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17397556,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-11-05,2024-11-05,11/18/2024,11/06/2024,,,,670.0,9413557.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 5B, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",2024-11-06,19.0,VIOLATION CLOSED,2025-04-15,Original,Close,Y,2024,2024.0,2025-11-23,1426 days,1043 days,2,160 days,three to six months
2243,2300,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17571630,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-12-21,2024-12-22,01/03/2025,12/22/2024,,,,670.0,9546453.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",2024-12-23,19.0,VIOLATION CLOSED,2025-06-16,Original,Close,Y,2024,2024.0,2025-11-23,1426 days,1089 days,2,175 days,three to six months
2244,2301,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17571631,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-12-21,2024-12-22,01/05/2025,12/29/2024,,,01/16/2025,672.0,9549160.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM LOCKED DOOR AT BOILER ROOM,2024-12-23,19.0,VIOLATION CLOSED,2025-04-15,Original,Close,N,2024,2024.0,2025-11-23,1426 days,1089 days,2,113 days,three to six months
2245,2302,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17571633,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-12-21,2024-12-22,01/11/2025,01/06/2025,,,,530.0,9549162.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES AT HOPPER DOOR TO COMPACTOR CHUTE AT PUBLIC HALL, 4th STORY",2024-12-23,19.0,VIOLATION CLOSED,2025-06-11,Original,Close,N,2024,2024.0,2025-11-23,1426 days,1089 days,2,170 days,three to six months
2246,2303,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17964226,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2025-06-05,2025-06-09,06/28/2025,06/23/2025,,,06/11/2025,530.0,9825910.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES AT COMPACTOR HOPPER DOOR AT PUBLIC HALL, 2nd STORY, SECTION ''785''",2025-06-09,19.0,VIOLATION CLOSED,2025-07-02,Original,Close,N,2025,2025.0,2025-11-23,1426 days,1255 days,3,23 days,one week to a month
2247,2304,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17397558,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-11-05,2024-11-05,11/19/2024,11/12/2024,,,,672.0,9415267.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED AT BOILER ROOM,2024-11-06,19.0,VIOLATION CLOSED,2025-04-15,Original,Close,N,2024,2024.0,2025-11-23,1426 days,1043 days,2,160 days,three to six months
2248,2305,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17877858,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2025-05-07,2025-05-07,05/27/2025,05/22/2025,,,06/03/2025,530.0,9748367.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE LATCH AT COMPACTOR CLOSET, 6th STORY",2025-05-08,19.0,VIOLATION CLOSED,2025-08-02,Original,Close,N,2025,2025.0,2025-11-23,1426 days,1226 days,3,86 days,one to three months
2249,2306,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17571632,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-12-21,2024-12-22,01/11/2025,01/06/2025,,,,530.0,9549161.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES IN THE ENTRANCE LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",2024-12-23,19.0,VIOLATION CLOSED,2025-06-15,Original,Close,N,2024,2024.0,2025-11-23,1426 days,1089 days,2,174 days,three to six months
2250,2307,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16092974,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,B,2023-07-13,2023-07-14,09/04/2023,08/21/2023,,,02/25/2025,1503.0,8562317.0,"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING IN THE ENTIRE APARTMENT LOCATED AT APT 2B, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST",2023-07-17,19.0,VIOLATION CLOSED,2025-04-15,Original,Close,N,2023,2023.0,2025-11-23,1426 days,562 days,1,638 days,more than a year
