building_name,borough,total_units,tds,transferred_date,page_number,bbl,bldg,m,address,zip_code,cd_,fc_,ss_,sa_,cc_,bin,3018020043,12,250_lexington_avenue,11216,3,08,25,57,36,3050586,3018040010,390_lexington_avenue,56,3322214,3021450001,45_south_10th_street,11249,1,07,18,50,34,3000000,2022690100,8,401_saint_anns_avenue,10454,14,29,84,2090993,2022870135,490_east_143rd_street,15,2000433,1021070059,1949_amsterdam_avenue,10032,13,31,71,10,1062490,3043770001,17,884_ashford_street,11207,5,19,60,42,3324274,3033410001,32,1260_gates_avenue,11221,4,54,37,3326137,3033340001,365_wilson_avenue,53,3338493,2049050001,33,1141_226th_drive,10466,16,83,2094164,1020160060,6,2651_a_c_powell_boulevard,10039,30,09,1084139,3033150001,2,140_menahan_street,3394310,3014710061,1747_saint_johns_place,11233,55,41,3014700160,1679_saint_johns_place,3392746,3014700015,1720a_sterling_place,3348327,3014710014,1790b_sterling_place,3393524,3014390010,2020_pacific_street,3038674,1020150005,164_west_147th_street,1079768,2026800001,1113_prospect_avenue,10459,79,2091984,3013410001,1605_dean_street,11213,20,3324581,3021400026,195_division_avenue,11211,3251681,3030260001,161_scholes_street,11206,3344974,3030240001,112_maujer_street,3327882,3030250046,247_graham_avenue,3327884
CLAREMONT PARKWAY-FRANKLIN AVENUE,BRONX,188,334,11/28/2023,10,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,07,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11221,4,,37,,3033340001,554 KNICKERBOCKER AVENUE,53,3342119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAREMONT PARKWAY-FRANKLIN AVENUE,BRONX,188,334,11/28/2023,10,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,07,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11221,4,,37,,3033340001,550 KNICKERBOCKER AVENUE,53,3342119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,1,M,1525 FULTON AVENUE,10457,3,15,32,79,16,2092128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,1,M,1531 FULTON AVENUE,10457,3,15,32,79,16,2092128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,1,M,1535 FULTON AVENUE,10457,3,15,32,79,16,2092128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,1,M,1545 FULTON AVENUE,10457,3,15,32,79,16,2092128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,1,M,560 CLAREMONT PARKWAY,10457,3,15,32,79,16,2092128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,1,M,550 CLAREMONT PARKWAY,10457,3,15,32,79,16,2092128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,1,M,544 CLAREMONT PARKWAY,10457,3,15,32,79,16,2092128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,2,M,3820 3RD AVENUE,10457,3,15,32,79,16,2092127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,2,M,3812 3RD AVENUE,10457,3,15,32,79,16,2092127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,2,M,3808 3RD AVENUE,10457,3,15,32,79,16,2092127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,2,M,3804 3RD AVENUE,10457,3,15,32,79,16,2092127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029280028,2,M,3800 3RD AVENUE,10457,3,15,32,79,16,2092127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029310086,3,M,1325 FRANKLIN AVENUE,10456,3,15,32,79,16,2009713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN HEIGHTS,BROOKLYN,121,312,11/28/2023,10,2029310086,3,,1315 FRANKLIN AVENUE,10456,3,15,32,79,16,2009713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSON,BRONX,175,190,11/28/2023,10,3013810013,1,M,1634 STERLING PLACE,11233,8,09,20,55,41,3036910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSON,BRONX,175,190,11/28/2023,10,3013570068,2,M,1367 SAINT MARKS AVENUE,11233,8,08,20,55,41,3035983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSON,BRONX,175,190,11/28/2023,10,3013570065,3,M,1371 SAINT MARKS AVENUE,11233,8,08,20,55,41,3035982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSON,BRONX,175,190,11/28/2023,10,3013690058,4,M,1629 PARK PLACE,11233,8,09,20,55,41,3036364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSON,BRONX,175,190,11/28/2023,10,3013750029,5,M,1630 PARK PLACE,11233,8,09,20,55,41,3036636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSON,BRONX,175,190,11/28/2023,10,3013750031,6,M,1636 PARK PLACE,11233,8,09,20,55,41,3036637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSON,BRONX,175,190,11/28/2023,10,3013750034,7,M,1640 PARK PLACE,11233,8,09,20,55,41,3036638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSON,BRONX,175,190,11/28/2023,10,3013750036,8,M,1646 PARK PLACE,11233,8,09,20,55,41,3036639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLE AVENUE-EAST 163RD STREET,BRONX,66,224,11/28/2023,10,2026800019,1,M,1150 UNION AVENUE,10459,3,15,32,79,17,2005038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLE AVENUE-EAST 163RD STREET,BRONX,66,224,11/28/2023,10,2026800019,1,,1152 UNION AVENUE,10459,3,15,32,79,17,2005038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLE AVENUE-EAST 163RD STREET,BRONX,66,224,11/28/2023,10,2026800019,1,,1221 PROSPECT AVENUE,10459,3,15,32,79,17,2005038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLE AVENUE-EAST 163RD STREET,BRONX,66,224,11/28/2023,10,2026800019,1,M,818 HOME STREET,10459,3,15,32,79,17,2005038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLE AVENUE-EAST 163RD STREET,BRONX,66,224,11/28/2023,10,2026200036,1,,907 EAGLE AVENUE,10456,3,15,32,79,17,2004383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,,,1895 SCHIEFFELIN AVENUE,,12,16,36,83,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,1,M,1180 GRENADA PLACE,10466,12,16,36,83,12,2093739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,1,M,1186 GRENADA PLACE,10466,12,16,36,83,12,2093739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,10,M,1166 GRENADA PLACE,10466,12,16,36,83,12,2094149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,10,M,1160 GRENADA PLACE,10466,12,16,36,83,12,2094149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,11,M,1137 229TH DRIVE NORTH,10466,12,16,36,83,12,2094143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,11,M,1139 229TH DRIVE NORTH,10466,12,16,36,83,12,2094143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,12,M,1125 229TH DRIVE NORTH,10466,12,16,36,83,12,2094148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,12,M,1127 229TH DRIVE NORTH,10466,12,16,36,83,12,2094148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,13,M,1107 EAST 229TH STREET,10466,12,16,36,83,12,2094146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,13,M,1111 EAST 229TH STREET,10466,12,16,36,83,12,2094146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,14,M,1135 EAST 229TH STREET,10466,12,16,36,83,12,2094147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,14,,1126 229TH DRIVE NORTH,10466,12,16,36,83,12,2094147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,15,M,1141 EAST 229TH STREET,10466,12,16,36,83,12,2094151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,16,,1145 EAST 229TH STREET,10466,12,16,36,83,12,2094152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,16,M,1151 EAST 229TH STREET,10466,12,16,36,83,12,2094152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,16,,1146 229TH DRIVE NORTH,10466,12,16,36,83,12,2094152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,17,M,1165 EAST 229TH STREET,10466,12,16,36,83,12,2094153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,18,M,1175 EAST 229TH STREET,10466,12,16,36,83,12,2094154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,19,M,1189 229TH DRIVE NORTH,10466,12,16,36,83,12,2094155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,19,M,1195 EAST 229TH STREET,10466,12,16,36,83,12,2094155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,2,M,3881 BAYCHESTER AVENUE,10466,12,16,36,83,12,2094142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,2,M,3885 BAYCHESTER AVENUE,10466,12,16,36,83,12,2094142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,20,M,1170 229TH DRIVE SOUTH,10466,12,16,36,83,12,2094150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,21,,1135 229TH DRIVE SOUTH,10466,12,16,36,83,12,2094157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,21,M,1153 229TH DRIVE SOUTH,10466,12,16,36,83,12,2094157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,21,M,1155 229TH DRIVE SOUTH,10466,12,16,36,83,12,2094157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,22,,1130 229TH DRIVE SOUTH,10466,12,16,36,83,12,2094156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,22,M,1132 229TH DRIVE SOUTH,10466,12,16,36,83,12,2094156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,23,M,1128 EAST 229TH STREET,10466,12,16,36,83,12,2094158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,23,M,1120 EAST 229TH STREET,10466,12,16,36,83,12,2094158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,24,M,4044 LACONIA AVENUE,10466,12,16,36,83,12,2094161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,24,M,4040 LACONIA AVENUE,10466,12,16,36,83,12,2094161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,25,M,4056 LACONIA AVENUE,10466,12,16,36,83,12,2094162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,25,M,4064 LACONIA AVENUE,10466,12,16,36,83,12,2094162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,26,M,4020 LACONIA AVENUE,10466,12,16,36,83,12,2094159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,26,M,4024 LACONIA AVENUE,10466,12,16,36,83,12,2094159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,27,M,4034 LACONIA AVENUE,10466,12,16,36,83,12,2094160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENWALD,BRONX,2,057,6/27/2023,11,2049050001,27,M,4030 LACONIA AVENUE,10466,12,16,36,83,12,2094160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
